"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
1,EST,EST00000451,MY-CAR,EST 535,Club,10/09/2014,2005,X-35 OD,JEPPESEN NIELS,X-YACHTS,n/a,622.8
2,EST,EST00000450,SUGAR 2,EST-711,Club,09/09/2014,2010,NAUTILUS MARINA 38,COSSUTTI MAURIZIO,NAUTILUS MARINE,n/a,611.6
3,EST,EST00000449,KATARIINA II,EST 646,Club,04/09/2014,2009,ARCONA 340,QUIBERG STEFAN,ARCONA YACHTS,n/a,632.0
4,EST,EST00000443,FORTE,EST 475,Club,01/09/2014,2006,X-41 OD,JEPPESEN NIELS,X-YACHTS,n/a,581.8
5,EST,EST00000442,REVAL CAFE,EST 703,Club,30/08/2014,2011,SALONA 38,JAKOPIN & JAKOPIN,AD YACHTS,n/a,607.4
6,EST,EST00000437,PÕRGATAJA,EST 647,Club,26/08/2014,2007,ELAN 340,HUMPHREYS,ELAN YACHTS,n/a,654.6
7,EST,EST00000434,PREMIUM,EST 499,Club,26/08/2014,2006,X-41 OD,JEPPESEN NIELS,X-YACHTS,n/a,583.4
8,EST,EST00000428,TECHNONICOL,EST-615,International,12/08/2014,2006,X-41 OD,JEPPESEN NIELS,X-YACHTS,n/a,571.5
9,EST,EST00000424,SPIRIT,EST 550,Club,11/08/2014,2003,GRAND SOLEIL 42 R,CARKEEK / BOTIN,DEL PARDO,n/a,570.7
10,EST,EST00000423,OLYMPIC,EST 463,International,10/08/2014,2006,X-41 OD,JEPPESEN NIELS,X-YACHTS,n/a,583.2
11,EST,EST00000420,LADY BIRD,EST 299,Club,10/08/2014,2001,AKTON 395,LUTRA,AKTON YACHTS,n/a,578.3
12,EST,EST00000419,MERION-X,EST 710,Club,07/08/2014,2010,XP-44,JEPPESEN NIELS,X-YACHTS,n/a,557.9
13,EST,EST00000398,VIRU - I,EST 95,Club,29/07/2014,1978,CONRAD 25,PETTERSON PELLE,,n/a,749.4
14,EST,EST00000389,ELISA PASSIONE,EST 462,International,26/07/2014,2005,FIRST 34.7,FARR YACHT DESIGN,BENETEAU,n/a,651.3
15,EST,EST00000326,TUULE,EST 408,Club,06/07/2014,2003,FIRST 44.7,FARR YACHT DESIGN,BENETEAU,n/a,587.7
16,EST,EST00000297,BOSSA NOVA,EST 379,Club,05/07/2014,2001,FIRST 36.7,FARR YACHT DESIGN,BENETEAU,n/a,637.5
17,EST,EST00000295,SANTA MARIA,EST 386,Club,05/07/2014,2005,BRIIS 38,JAKOVLEV B,MASTER YACHT INT,n/a,594.3
18,EST,EST00000283,MAORI,EST 672,Club,02/07/2014,1995,PLATU 25 OD,FARR YACHT DESIGN,BENETEAU,n/a,689.1
19,EST,EST00000280,KADRI,EST 185,Club,02/07/2014,1978,CONRAD 25,PETTERSON PELLE,TELIGA L,n/a,743.6
20,EST,EST00000276,RED HOT,EST 453,Club,01/07/2014,1991,JEANNEAU 35 OD,ANDRIEU DANIEL,JEANNEAU,n/a,627.0
21,EST,EST00000275,EVELYN III,EST 477,Club,01/07/2014,2005,FIRST 34.7,FARR YACHT DESIGN,BENETEAU,n/a,656.5
22,EST,EST00000266,LEILA,EST 242,Club,28/06/2014,1984,POLARIS,SET,SET,n/a,724.8
23,EST,EST00000262,ADVENTURE,EST 533,International,25/06/2014,2001,FIRST 36.7,FARR YACHT DESIGN,BENETEAU,n/a,631.6
24,EST,EST00000261,KATARINA JEE,EST 464,Club,25/06/2014,2005,FIRST 34.7,FARR YACHT DESIGN,BENETEAU,n/a,657.1
25,EST,EST00000241,SILVA,EST 407,International,16/06/2014,2001,FIRST 36.7,FARR YACHT DESIGN,BENETEAU,n/a,633.1
26,EST,EST00000240,EDASI,EST 11,Club,15/06/2014,1984,POLARIS,SET,SET,n/a,723.6
27,EST,EST00000230,MINNI,EST 751,Club,09/06/2014,2003,RIDAS 26,BLANK DIETER,RIDAS YACHTS,n/a,700.7
28,EST,EST00000229,MERIKOTKAS,EST 200,Club,08/06/2014,1984,POLARIS,SET,SET,n/a,726.0
29,EST,EST00000214,NORA,EST415,Club,03/06/2014,2004,BAVARIA 35 MATCH,JAKOPIN & JAKOPIN,BAVARIA YACHTS,n/a,635.0
30,EST,EST00000211,MERION,EST 400,Club,03/06/2014,2003,ARCHAMBAULT A40,NIVELT BERNARD,ARCHAMBAULT,n/a,578.5
31,EST,EST00000207,ÖÖSORR,EST 730,Club,02/06/2014,1984,POLARIS,SET,SET,n/a,723.1
32,EST,EST00000201,SYLVIA,EST 478,Club,30/05/2014,2006,GRAND SOLEIL 43 BC,CARKEEK / BOTIN,DEL PARDO,n/a,603.9
33,EST,EST00000200,BRIGITTA,EST 295,Club,30/05/2014,1999,CROSS 31,,RIDAS YACHTS,n/a,669.9
34,EST,EST00000199,BLANCA,EST 73,Club,30/05/2014,1984,POLARIS,SET,SET,n/a,721.7
35,EST,EST00000190,JINX,EST-642,Club,30/05/2014,1985,X-99,JEPPESEN NIELS,X-YACHTS,n/a,638.7
36,EST,EST00000186,LAGLE II,EST 251,Club,28/05/2014,1984,POLARIS,SET,SET,n/a,736.0
