"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00001258","JAZZ","EST 465","Club","06/09/2016","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","648.4"
"2","EST","EST00001253","SUGAR 2","EST-711","Club","06/09/2016","2010","NAUTILUS MARINA 38","COSSUTTI MAURIZIO","NAUTILUS MARINE","n/a","609.6"
"3","EST","EST00001252","KATARIINA II","EST 646","Club","26/08/2016","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","626.7"
"4","EST","EST00001243","JINX","EST-642","Club","26/08/2016","1985","X-99","JEPPESEN NIELS","X-YACHTS","n/a","632.9"
"5","EST","EST00001240","MERION","EST 400","Club","23/08/2016","2003","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT","n/a","588.6"
"6","EST","EST00001231","MIA MIA","EST 685","Club","16/08/2016","2010","FIRST 30","KUJUMDJAN JUAN","BENETEAU","n/a","656.1"
"7","EST","EST00001226","NaVi","EST415","Club","26/07/2016","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","642.1"
"8","EST","EST00001225","KATARIINA II","EST 949","International","23/07/2016","2015","ONE OFF","COSSUTTI MAURIZIO","RIDAS YACHTS","n/a","606.0"
"9","EST","EST00001215","Cherie","EST 633","Club","05/07/2016","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","632.2"
"10","EST","EST00001213","RED HOT","EST 453","Club","04/07/2016","1991","JEANNEAU 35 OD","ANDRIEU DANIEL","JEANNEAU","n/a","627.5"
"11","EST","EST00001211","PREMIUM","EST 499","International","04/07/2016","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","576.6"
"12","EST","EST00001202","VESIKAAR","EST 678","International","03/07/2016","2009","T 34 (2009)","LOSTUZZI MARCO","T-YACHTS","n/a","634.5"
"13","EST","EST00001200","OLYMPIC","EST 463","International","03/07/2016","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","577.8"
