"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00001037","Celia","EST739","Club","01/12/2019","1979","INFERNO 29","SODERGREN HAKAN",,"n/a","682.3"
"2","EST","EST00001036","LILIANN","EST396","Club","01/12/2019","1982","ONE OFF","NORLIN PETER","JANSSON / ZARINS","n/a","675.4"
"3","EST","EST00001035","BELLA","EST25","Club","01/12/2019","1976","BELLONA 23",,"ROOTSI","n/a","774.7"
"4","EST","EST00001034","MESECINA","EST165","Club","01/12/2019","2004","BAVARIA 42 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","594.7"
"5","EST","EST00001033","Xperiment","SWE15","Club","30/11/2019","1985","X-99",,"X-YACHTS","n/a","623.6"
"6","EST","EST00001032","BARRACUDA","SUI 93","Club","30/11/2019","1974","KOMPROMISS W30","WALLIN J","PITEA","n/a","661.6"
"7","EST","EST00001031","ONEGA","RUS671","Club","30/11/2019","1963","L 6",,"VCSPS","n/a","666.1"
"8","EST","EST00001030","SINYAYA PTICA","RUS630","Club","30/11/2019","1963","L 6",,"VCSPS","n/a","666.4"
"9","EST","EST00001029","Flavis","RUS2599","Club","30/11/2019","2006","RAKETA 970","TIKHONOV M","RAKETA YACHTS LTD","n/a","635.7"
"10","EST","EST00001028","Flavis","RUS2599","Club","30/11/2019","2006","RAKETA 970","TIKHONOV M","RAKETA YACHTS LTD","n/a","635.7"
"11","EST","EST00001027","LASTOCHKA","P0608","Club","30/11/2019","1979","HALLBERG RASSY 31",,"HALLBERG RASSY","n/a","735.5"
"12","EST","EST00001026","LE MANS","LAT771","Club","30/11/2019","2005","ARCHAMBAULT A35","NIVELT BERNARD","ARCHAMBAULT","n/a","604.2"
"13","EST","EST00001025","EXTRA BRUT","LAT577","Club","30/11/2019","2004","X-40","JEPPESEN NIELS","X-YACHTS","n/a","594.0"
"14","EST","EST00001024","GURU","LAT352","Club","30/11/2019","2000","GRAND SOLEIL 40 R",,"DEL PARDO","n/a","606.8"
"15","EST","EST00001023","GABRIEL","LAT3","Club","30/11/2019","1994","GIBSEA 414",,"MIKROSS","n/a","625.5"
"16","EST","EST00001022","IRISHA","LAT230","Club","30/11/2019","2004","OCEANIS 323",,"BENETEAU","n/a","703.8"
"17","EST","EST00001021","Piloilleri III","FIN9004","Club","30/11/2019","1977","FF31","FABRONI / FOSCHI RODOLFO","POLAR YACHTS","n/a","678.7"
"18","EST","EST00001020","Mimi","FIN-11540","Club","30/11/2019","1999","RDL 39","JUDEL FRIEDRICH / VROELIJK ROLF","RIDAL SERGEI","n/a","610.9"
"19","EST","EST00001019","PÄRLAN","FIN10068","Club","30/11/2019","2004","FINNGULF 37",,"FINNGULF MARINE","n/a","619.8"
"20","EST","EST00001018","MY BEST","ESTD9","Club","30/11/2019","1929","DRAGON",,"BORRESEN","n/a","751.0"
"21","EST","EST00001017","KARINA","ESTD8","Club","30/11/2019","1929","DRAGON",,"BORRESEN","n/a","751.0"
"22","EST","EST00001016","SPARWEN","ESTD5","Club","30/11/2019","1929","DRAGON",,"BOERRESEN","n/a","751.0"
"23","EST","EST00001015","HEUSCHRECKE","ESTD2","Club","30/11/2019","1929","DRAGON",,"PEDERSEN","n/a","751.0"
"24","EST","EST00001014","RIGHT NOW","ESTD12","Club","30/11/2019","1929","DRAGON",,"ROYAL DENSHIP","n/a","751.0"
"25","EST","EST00001013","Astrid","EST983","Club","30/11/2019","1981","FENIX",,,"n/a","760.0"
"26","EST","EST00001012","ESTELLA","EST970","Club","30/11/2019","1981","FENIX",,"PETTERSSON PELE","n/a","757.4"
"27","EST","EST00001011","VIRU-1","EST95","Club","30/11/2019","1976","CONRAD 25","PETERSON DOUG","CONRAD","n/a","734.6"
"28","EST","EST00001010","Azzurra","EST944","Club","30/11/2019","1979","INFERNO 29",,,"n/a","681.5"
"29","EST","EST00001009","Hilja","EST920","Club","30/11/2019","2009","BAVARIA 32",,"BAVARIA YACHTS","n/a","714.3"
"30","EST","EST00001008","EDDA","EST894","Club","30/11/2019","1981","FENIX",,,"n/a","762.8"
"31","EST","EST00001007","HILJA","EST877","Club","30/11/2019","1974","BECKER 27",,"BK MARINE","n/a","786.2"
"32","EST","EST00001006","POSTIMEES SAILING TEAM","EST 850","Club","30/11/2019","2018","ONE OFF","CYD","RIDAS YACHTS","n/a","601.9"
"33","EST","EST00001005","ALIS CAFO","EST822","Club","30/11/2019","1990","GUYLINE 822",,,"n/a","684.1"
"34","EST","EST00001004","PLANEER","EST817","Club","30/11/2019","1998","FIRST 31.7",,"BENETEAU","n/a","668.0"
