"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00001508","MY-CAR","EST 535","International","30/09/2010","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","616.5"
"2","EST","EST00001507","AMSERV","EST 550","International","25/09/2010","2003","GRAND SOLEIL 42 R","CARKEEK / BOTIN","DEL PARDO","n/a","578.3"
"3","EST","EST00001487","BERING","EST 615","International","03/09/2010","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","573.2"
"4","EST","EST00001483","PREMIUM","EST 499","International","31/08/2010","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","578.1"
"5","EST","EST00001481","MERIKOTKAS","EST 200","Club","29/08/2010","1984","POLARIS","SET","SET","n/a","716.4"
"6","EST","EST00001460","BRIGITTA-X","EST 606","International","17/08/2010","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","640.9"
"7","EST","EST00001441","KATARINA II","EST 646","International","06/07/2010","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","611.6"
"8","EST","EST00001426","CAROL","EST 193","Club","06/07/2010","1978","CONRAD 25","PETTERSON PELLE",,"n/a","746.7"
"9","EST","EST00001424","SYLVIA","EST 478","International","06/07/2010","2006","GRAND SOLEIL 43","CARKEEK / BOTIN","DEL PARDO","n/a","596.0"
"10","EST","EST00001354","FANATIC","EST-239","Club","04/07/2010","1997","GUYLINE 355","LOENNGREN GUY","GLOBOTRON","n/a","655.5"
"11","EST","EST00001347","TECHNONICOL","EST 615","International","02/07/2010","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","571.9"
"12","EST","EST00001346","JAZZ","EST 465","International","02/07/2010","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","646.2"
"13","EST","EST00001341","AIDA","EST 26","Club","30/06/2010","1984","POLARIS","SET","SET","n/a","719.2"
