"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00000976","PREMIUM","EST 499","International","22/09/2015","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","582.7"
"2","EST","EST00000972","OLYMPIC","EST 463","Club","15/09/2015","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","582.9"
"3","EST","EST00000970","FORTE","EST 475","Club","01/09/2015","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","574.8"
"4","EST","EST00000966","MERION","EST 400","Club","01/09/2015","2003","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT","n/a","581.9"
"5","EST","EST00000964","BLUE LARK","EST 708","Club","25/08/2015","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","636.7"
"6","EST","EST00000963","SPIRIT","EST 550","Club","25/08/2015","2003","GRAND SOLEIL 42 R","CARKEEK / BOTIN","DEL PARDO","n/a","571.4"
"7","EST","EST00000943","SUGAR 2","EST-711","Club","19/08/2015","2010","NAUTILUS MARINA 38","COSSUTTI MAURIZIO","NAUTILUS MARINE","n/a","616.6"
"8","EST","EST00000942","PEGASUS","EST 599","Club","13/08/2015","2006","FIRST 50 (2006)","BRIAND PHILIPPE","BENETEAU","n/a","554.9"
"9","EST","EST00000940","KATARIINA II","EST 949","International","10/08/2015","2015","ONE OFF","COSSUTTI MAURIZIO","RIDAS YACHTS","n/a","608.8"
"10","EST","EST00000939","LEILA","EST 242","Club","06/08/2015","1984","POLARIS","SET","SET","n/a","724.8"
"11","EST","EST00000918","SILVA","EST 407","International","31/07/2015","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","637.6"
"12","EST","EST00000917","VANISHING POINT","EST-31","International","31/07/2015","1985","X-99","JEPPESEN NIELS","X-YACHTS","n/a","653.6"
"13","EST","EST00000913","REVAL CAFE","EST 703","International","30/07/2015","2011","SALONA 38","JAKOPIN & JAKOPIN","AD YACHTS","n/a","606.5"
"14","EST","EST00000908","MIA MIA","EST 685","International","30/07/2015","2010","FIRST 30","KUJUMDJAN JUAN","BENETEAU","n/a","656.7"
"15","EST","EST00000897","MEREPÄRL","EST 406","International","29/07/2015","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","638.3"
"16","EST","EST00000890","FREYA","EST 571","International","29/07/2015","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","638.7"
"17","EST","EST00000889","LADY BIRD","EST 299","International","29/07/2015","2001","AKTON 395","LUTRA","AKTON YACHTS","n/a","579.7"
"18","EST","EST00000885","MY-CAR","EST 535","International","27/07/2015","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","621.1"
"19","EST","EST00000884","MIA","EST 330","International","27/07/2015","2000","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT","n/a","639.3"
"20","EST","EST00000883","Cherie","EST 633","International","27/07/2015","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","634.8"
"21","EST","EST00000882","Matilda 3","EST 462","International","27/07/2015","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","651.2"
"22","EST","EST00000879","RED HOT","EST 453","International","15/07/2015","1991","JEANNEAU 35 OD","ANDRIEU DANIEL","JEANNEAU","n/a","621.7"
"23","EST","EST00000878","MERION-X","EST 710","International","15/07/2015","2010","XP-44","JEPPESEN NIELS","X-YACHTS","n/a","558.4"
"24","EST","EST00000873","NORA LII","EST 345","International","13/07/2015","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","656.6"
"25","EST","EST00000867","BOSSA NOVA","EST 379","International","12/07/2015","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","641.3"
"26","EST","EST00000863","ADELE","EST 467","International","12/07/2015","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","656.4"
"27","EST","EST00000862","BLANCA","EST 73","Club","12/07/2015","1984","POLARIS","SET","SET","n/a","721.3"
