"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","04340002OV9","Kira","EST 874","International","22/06/2023","2006","CORBY 33","CORBY JOHN","MICROSPAN","551.8","617.7"
"2","EST","04340002OUQ","Sleeper","EST-759","Club","21/06/2023","2011","J 11S","JOHNSTONE","J BOATS","522.4","586.6"
"3","EST","04340002OUP","MASU","EST 632","International","21/06/2023","2007","X-34","JEPPESEN NIELS","X-YACHTS","574.5","644.5"
"4","EST","04340002OS8","TUULE","EST 408","Club","21/06/2023","2003","FIRST 44.7","FARR YACHT DESIGN","BENETEAU","509.7","570.0"
"5","EST","04340002ORU","Tshaika","EST F66","Club","21/06/2023","1941","FOLKBOAT",,"SET","749.3","839.0"
"6","EST","04340002ORQ","VESILEENU","EST 157","International","21/06/2023","1984","POLARIS","SET","SET","655.3","730.9"
"7","EST","04340002OPV","LILIANN","EST 396","Club","20/06/2023","1982","ONE OFF","NORLIN PETER","JANSSON / ZARINS","605.0","673.0"
"8","EST","04340002OOC","ELEVANTS","EST 220","Club","19/06/2023","1968","COMPIS 28","ANDERSSON BERNT","COMPISBOTAR","671.1","751.9"
"9","EST","04340002OO9","Matilda 4","EST-112","International","19/06/2023","2015","J 112","JOHNSTONE","J BOATS","529.0","591.6"
"10","EST","04340002OO4","SUGAR","EST-774","International","19/06/2023","2014","ITALIA 9.98 F","POLLI","ITALIA YACHTS","552.7","617.6"
"11","EST","04340002OHF","LA FOLIE","EST438","Club","15/06/2023","1979","COMFORT 26","ALBINSSON","COMFORT YACHTS","664.0","746.7"
"12","EST","04340002OD8","ENEL","EST 353","DH Club","14/06/2023","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS","586.0","652.8"
"13","EST","04340002OCB","MINNI","EST 50","International","14/06/2023","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","543.6","608.2"
"14","EST","04340002OB5","Mach 1","EST833","Club","14/06/2023","1995","DEHLER 33","JUDEL FRIEDRICH / VROELIJK ROLF","DEHLER","566.9","636.7"
"15","EST","04340002O8V","NOLA","EST 773","International","13/06/2023","2015","J 112","JOHNSTONE","J BOATS","528.8","592.0"
"16","EST","04340002O8I","Ülle","EST 525","Club","13/06/2023","2006","ELAN 340","HUMPHREYS","ELAN YACHTS","572.9","642.1"
"17","EST","04340002O8H","TUULELIND","EST 209","Club","13/06/2023","2010","VARIANTA 44","JUDEL FRIEDRICH / VROELIJK ROLF","YC GREIFSWALD","520.0","586.8"
"18","EST","04340002O72","GEORG","EST-278","Club","12/06/2023","1994","X-332","JEPPESEN NIELS","X-YACHTS","574.7","645.7"
"19","EST","04340002O6Q","Tuuleiil","EST 775","Club","12/06/2023","2009","SKIPPI 750","SPISAK W","SKIPPER YACHTS","625.1","699.7"
"20","EST","04340002O3S","KATARIINA II","EST 646","International","09/06/2023","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","544.9","609.1"
"21","EST","04340002O3R","Shadow","EST 113","International","09/06/2023","2015","J 112","JOHNSTONE","J BOATS","528.4","591.2"
"22","EST","04340002O3E","ENEL","EST 353","Club","09/06/2023","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS","580.8","648.6"
"23","EST","04340002O13","Cafe Sailing","EST 703","International","08/06/2023","2011","SALONA 38","JAKOPIN & JAKOPIN","AD YACHTS","535.9","599.5"
"24","EST","04340002NLO","Felicita","EST366","DH Club","04/06/2023","1976","BIRDIE 24","BECKER HARRY",,"711.5","793.0"
"25","EST","04340002NIL","MY-CAR","EST 535","DH International","02/06/2023","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","559.8","626.6"
"26","EST","04340002NFR","XS","EST 790","Club","01/06/2023","1979","X-79","JEPPESEN NIELS",,"622.1","696.3"
"27","EST","04340002NCP","Foca","EST532","DH Club","01/06/2023","1995","POGO 650",,"POGO STRUCTURES","591.1","654.6"
"28","EST","04340002NCH","New Deal","EST725","Club","01/06/2023","1981","MAXI MIXER 35","PETTERSON PELLE","MAXI","609.7","687.9"
"29","EST","04340002NCF","AQUILA","EST 872","Club","01/06/2023","1986","DEHLER OPTIMA 101","VAN DE STADT","DEHLER","609.9","687.4"
"30","EST","04340002NCE","AURORA","EST575","Club","01/06/2023","1968","COMPIS 28",,"KARLSTAD","648.7","724.4"
"31","EST","04340002NB1","NORA LII","EST 345","Club","31/05/2023","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","569.2","640.5"
"32","EST","04340002NAT","Tuuslar","EST 4","Club","31/05/2023","1972","CARTER 30","CARTER DICK","TELIGA L","651.6","730.8"
"33","EST","04340002NAS","DEJA VU","EST542","Club","31/05/2023","2016","DUFOUR 382 GL","FELCI","DUFOUR","591.7","671.3"
"34","EST","04340002N8E","CHANTAL","EST267","Club","31/05/2023","2000","MANNERBERG 31",,"RAJAKALLIO","570.9","641.2"
"35","EST","04340002N2R","Horizon","EST 911","Club","30/05/2023","2007","HANSE 400","JUDEL FRIEDRICH / VROELIJK ROLF","HANSE YACHTS","542.0","609.4"
"36","EST","04340002N2Q","Sly","EST 248","Club","30/05/2023","1981","MACH 3",,"FRAM","591.6","661.9"
"37","EST","04340002N26","Dream","EST 818","Club","29/05/2023","1971","MAXI 77","PETTERSON PELLE","BORJESSON","699.5","791.8"
"38","EST","04340002N1C","LAGLE III","EST 554","Club","29/05/2023","1981","FINN EXPRESS 83","STILL EIVIND","NYKRA","667.9","755.8"
"39","EST","04340002MQ2","METTE","EST 343","DH Club","25/05/2023","1981","FENIX","PETTERSON PELLE","PETTERSSON PELE","691.9","778.3"
"40","EST","04340002MQ1","Lumi","EST 462","International","25/05/2023","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","571.9","641.7"
"41","EST","04340002MLF","LINDA","EST1","Club","25/05/2023","1972","CONRAD 54",,"YACHTOVA, GDANSK","520.7","592.9"
"42","EST","04340002MLB","Ninne","EST723","Club","25/05/2023","1981","FENIX",,"ROOTSI","674.8","760.5"
"43","EST","04340002MJT","EDDA","EST894","Club","24/05/2023","1981","FENIX",,"MAXI","697.2","788.5"
"44","EST","04340002MI9","EDASI","EST 11","Club","24/05/2023","1984","POLARIS","SET","SET","650.8","724.3"
"45","EST","04340002MHE","BELLA","EST25","International","24/05/2023","1976","BELLONA 23",,"ROOTSI","721.9","809.5"
"46","EST","04340002MH1","KAIJA","EST29","Club","23/05/2023","1978","OPTY 71",,"TELIGA L","705.1","787.9"
"47","EST","04340002MH0","KAIJA","EST29","DH Club","23/05/2023","1978","OPTY 71",,"TELIGA L","734.9","823.4"
"48","EST","04340002MCC","Lumo","EST 756","NS Club","22/05/2023","1983","OMEGA 30 A","HOLLAND RON","VINDO","644.9","728.6"
"49","EST","04340002M94","Pinta","EST 57","Club","22/05/2023","1974","TAURUS","GOGOLKEVICH","TELIGA L","636.2","722.4"
"50","EST","04340002M93","Take Off","EST-433","Club","22/05/2023","2007","ELAN 410","HUMPHREYS","ELAN YACHTS","523.8","587.4"
"51","EST","04340002M7O","ADVENTURE","EST 533","Club","22/05/2023","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","558.5","627.0"
"52","EST","04340002M7N","UltraHelin","EST 700","Club","22/05/2023","2008","CARBOMARE 35","ROEPER THOMAS","CARBO-MARE YACHTS","534.8","601.5"
"53","EST","04340002M6E","SIREN","EST 540","Club","20/05/2023","2006","HANSE 400","JUDEL FRIEDRICH / VROELIJK ROLF","HANSE YACHTS","534.9","599.4"
"54","EST","04340002M4B","ESTELLA","EST 970","DH Club","19/05/2023","1981","FENIX","PETTERSON PELLE","PETTERSSON PELE","693.2","779.8"
"55","EST","04340002M49","ESTELLA","EST 970","Club","19/05/2023","1981","FENIX","PETTERSON PELLE","PETTERSSON PELE","685.3","774.1"
"56","EST","04340002M44","HEDWIG","EST 262","Club","19/05/2023","1978","ALBIN CIRRUS 7.8","NORLIN PETER","ALBIN MARINE","712.6","793.0"
"57","EST","04340002M2I","TEMPER","EST-188","Club","18/05/2023","1983","FINNFLYER 31","STILL EIVIND","POLAR YACHTS","621.3","697.6"
"58","EST","04340002M10","KESSU","EST 877","DH Club","17/05/2023","1974","BECKER 27",,"BK MARINE","714.4","801.3"
"59","EST","04340002M0W","LEILA","EST 242","Club","17/05/2023","1984","POLARIS","SET","SET","652.6","727.4"
"60","EST","04340002M0V","ERNA","EST207","Club","17/05/2023","1963","L 6",,"VSPS","604.3","679.5"
"61","EST","04340002LW0","BRIGITTA","EST 295","International","17/05/2023","1999","CROSS 31",,"RIDAS YACHTS","578.6","650.9"
"62","EST","04340002LSL","URD","EST370","Club","16/05/2023","1974","COMFORT 30","ALBINSSON","COMFORT YACHTS","662.9","744.1"
"63","EST","04340002LSK","URD","EST370","NS Club","16/05/2023","1974","COMFORT 30","ALBINSSON","COMFORT YACHTS","689.2","778.4"
"64","EST","04340002LRN","FREYA","EST 571","Club","16/05/2023","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","556.8","624.9"
"65","EST","04340002LMH","EMERALD","EST 221","Club","15/05/2023","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","581.8","654.8"
"66","EST","04340002LKE","Xini Freedom","FIN-68","Club","12/05/2023","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","501.5","559.4"
"67","EST","04340002LK7","ATLANDI VÕLG X","EST765","Club","12/05/2023","1985","X-99","JEPPESEN NIELS","X-YACHTS","573.8","644.7"
"68","EST","04340002LK6","MIA","EST 330","International","12/05/2023","2000","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT","550.6","618.3"
"69","EST","04340002LIS","METTE","EST 343","Club","12/05/2023","1981","FENIX","PETTERSON PELLE","PETTERSSON PELE","684.7","773.3"
"70","EST","04340002LIR","FORTE","EST 475","International","12/05/2023","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","505.4","564.4"
"71","EST","04340002LCK","MARIA","EST 43","Club","11/05/2023","1972","CARTER 30",,"TELIGA L","667.2","748.1"
"72","EST","04340002LCJ","JÄÄLIND","EST990","Club","11/05/2023","1985","X-99","JEPPESEN NIELS","X-YACHTS","568.5","636.3"
"73","EST","04340002LCI","HANNEGER","EST 912","Club","11/05/2023","2010","OCEANIS 34","FINOT","BENETEAU","615.1","696.5"
"74","EST","04340002LC5","QUEEN ANN","EST178","NS Club","11/05/2023","2007","OCEANIS 43",,"BENETEAU","593.8","680.4"
"75","EST","04340002LAC","KADRI","EST 185","Club","11/05/2023","1978","CONRAD 25","PETTERSON PELLE","TELIGA L","664.3","742.9"
"76","EST","04340002LAA","RIIN","EST 103","Club","11/05/2023","1976","APHRODITE 30",,,"675.6","761.8"
"77","EST","04340002LA6","Faro","EST 750","International","11/05/2023","2012","RIDAS 31","BLANK DIETER","RIDAS YACHTS","580.6","651.6"
"78","EST","04340002L63","MERCURIUS","EST 45","Club","10/05/2023","1975","CARTER 30","CARTER DICK","TELIGA L","659.4","739.6"
"79","EST","04340002L60","KATARINA JEE","EST 464","International","10/05/2023","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","575.7","646.8"
"80","EST","04340002L5W","EVELYN III","EST 477","International","10/05/2023","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","569.9","639.2"
"81","EST","04340002L5V","TESSA","EST 324","Club","10/05/2023","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","565.8","634.6"
"82","EST","04340002L5T","Cassandra","EST 266","Club","10/05/2023","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","540.6","603.0"
"83","EST","04340002L0D","Cassandra","EST 166","International","09/05/2023","2005","FIRST 34.7","BENETEAU","FARR YD","576.0","645.9"
"84","EST","04340002KU1","Heleena","EST 829","DH Club","08/05/2023","1975","NETTA H-30","GROOP HANS",,"676.3","759.4"
"85","EST","04340002KU0","Heleena","EST 829","Club","08/05/2023","1975","NETTA H-30","GROOP HANS",,"669.9","754.1"
"86","EST","04340002KTT","BORA","EST 733","DH Club","08/05/2023","1984","POLARIS",,"SET","666.4","739.6"
"87","EST","04340002KTR","VIGURPILT","EST134","Club","08/05/2023","1984","POLARIS",,,"650.8","727.3"
"88","EST","04340002KSW","LILY","EST136","Club","08/05/2023","1999","BAVARIA 34",,,"596.7","676.4"
"89","EST","04340002KSV","BORA","EST 733","Club","08/05/2023","1984","POLARIS",,"SET","653.2","729.3"
"90","EST","04340002KSD","Merilane","EST959","Club","08/05/2023","1978","ALBIN EXPRESS","NORLIN PETER","ALBIN MARINE","649.4","727.0"
"91","EST","04340002KQR","SINILIND","EST 520","DH Club","06/05/2023","1993","BAVARIA 33",,"BAVARIA YACHTS","607.6","686.0"
"92","EST","04340002KQQ","SINILIND","EST 520","Club","06/05/2023","1993","BAVARIA 33",,"BAVARIA YACHTS","599.4","677.9"
"93","EST","04340002KJR","Miss Foxy","EST 768","Club","05/05/2023","1985","X-99","JEPPESEN NIELS","X-YACHTS","576.7","648.7"
"94","EST","04340002KIU","Cherie","EST 633","International","04/05/2023","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","555.3","622.5"
"95","EST","04340002KFL","BERTA","EST 619","Club","04/05/2023","2008","ELAN 380","HUMPHREYS","ELAN YACHTS","550.9","618.7"
"96","EST","04340002KCW","LUST","EST 284","Club","03/05/2023","1969","RJ 85",,"JACOBSSON","683.8","762.6"
"97","EST","04340002KCR","Calena","EST 381","International","03/05/2023","1996","FARR 30 OD","FARR YACHT DESIGN","OVINGTON MARINE","537.7","598.4"
"98","EST","04340002KCQ","MY-CAR","EST 535","International","03/05/2023","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","548.2","614.6"
"99","EST","04340002KAB","SYLVIA","EST 478","International","03/05/2023","2005","GRAND SOLEIL 43 BC","CARKEEK / BOTIN","DEL PARDO","527.9","597.0"
"100","EST","04340002KA6","DIRECTO","EST 998","International","03/05/2023","2014","ITALIA 9.98 F","POLLI","ITALIA YACHTS","554.8","620.3"
"101","EST","04340002K93","UTOOPIA","EST797","International","02/05/2023","2015","FAREAST 28R","VOOGD / SIMONIS ALEXANDER","FAR EAST YACHTS","528.3","593.7"
"102","EST","04340002K4D","AMSERV TOYOTA ST","EST 379","International","02/05/2023","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","552.0","614.5"
"103","EST","04340002K4A","OLYMPIC","EST 463","International","02/05/2023","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","504.7","564.0"
"104","EST","04340002K48","BLUEBIRD","EST950","NS Club","02/05/2023","1978","BIRDIE 32","BECKER JAN",,"683.0","772.8"
"105","EST","04340002K45","Roxanna","EST 748","Club","02/05/2023","1979","X-79","JEPPESEN NIELS","X-YACHTS","643.5","724.0"
"106","EST","04340002K43","SILVA","EST 407","Club","02/05/2023","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","554.3","622.0"
"107","EST","04340002JVH","Wizard","EST 745","International","30/04/2023","2018","WAARSCHIP 36","PELTZER A","NCD","521.1","584.3"
"108","EST","04340002JHS","PLANEER","EST 817","Club","26/04/2023","1998","FIRST 31.7",,"BENETEAU","595.1","671.1"
"109","EST","04340002JHQ","Far Away","EST 772","Club","26/04/2023","1986","VANCOUVER 32","HARRIS","NORTHSHORE YACHTS","691.8","782.8"
"110","EST","04340002JBC","Celia","EST-739","Club","25/04/2023","1979","INFERNO 29","SODERGREN HAKAN",,"619.1","691.2"
"111","EST","04340002J8P","EdelWeiss","EST 678","Club","24/04/2023","2009","T 34","LOSTUZZI MARCO","T-YACHTS","559.0","628.5"
"112","EST","04340002J7O","Astrid","EST 983","Club","24/04/2023","1981","FENIX",,"MAXI","689.6","779.0"
"113","EST","04340002J7N","Fanatic 2","EST-1198","International","24/04/2023","2019","ITALIA 11.98","POLLI","ITALIA YACHTS","525.2","588.5"
"114","EST","04340002J7K","Piiska","EST335","Club","24/04/2023","1997","PLATU 25 OD","FARR YACHT DESIGN","BENETEAU","597.5","665.8"
"115","EST","04340002J0M","ADELE","EST 467","International","21/04/2023","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","572.7","643.0"
"116","EST","04340002ISU","JAZZ","EST 935","International","20/04/2023","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","547.6","613.4"
"117","EST","04340002IS6","BRIGITTA-X","EST 606","International","20/04/2023","2007","X-34","JEPPESEN NIELS","X-YACHTS","567.1","636.5"
"118","EST","04340002IQO","DOMINA","EST 465","International","20/04/2023","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","570.9","641.3"
"119","EST","04340002IQK","SEABIRD","EST 337","Club","20/04/2023","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","591.3","666.7"
"120","EST","04340002I2E","KESSU","EST 877","Club","17/04/2023","1974","BECKER 27",,"BK MARINE","709.9","798.5"
"121","EST","04340002I17","Katariina II","EST-949","International","16/04/2023","2006","SWAN 42 CLUB","FRERS","NAUTORS","480.3","535.1"
"122","EST","04340002HP5","CENTAUR","EST371","DH Club","13/04/2023","1998","FIRST 31.7","FINOT","BENETEAU","598.0","668.3"
"123","EST","04340002HN3","CENTAUR","EST371","Club","12/04/2023","1998","FIRST 31.7","FINOT","BENETEAU","589.6","662.1"
"124","EST","04340002HN1","BLUEBIRD","EST950","Club","12/04/2023","1978","BIRDIE 32","BECKER JAN",,"654.5","735.5"
"125","EST","04340002HD2","ELLI","EST728","Club","06/04/2023","2000","DELPHIA 37","SKRZAT ANDREJ","DELPHIA YACHTS","580.5","656.5"
