"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","n/a","ZOO","EST 430","Club","12/09/2006","1979","BANNER 28 RACER MKII","OUDRUP","FIBERBADE",,
"2","EST","n/a","ENEL","EST 353","IMS","30/08/2006","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS",,
"3","EST","n/a","CABERNET","EST 380","IMS","28/08/2006","2005","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT",,
"4","EST","n/a","BENTEAU 34.7",,"n/a","28/08/2006","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU",,
"5","EST","n/a","BENTEAU 34.7",,"n/a","28/08/2006","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU",,
"6","EST","n/a","BENTEAU 34.7",,"n/a","28/08/2006","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU",,
"7","EST","n/a","BES","RUS 1313","Club","15/07/2006","1989","CONRAD 25","PETERSON DOUG","CONRAD",,
"8","EST","n/a","EMERALD","EST 221","Club","14/07/2006","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS",,
"9","EST","n/a","SHINY","EST 355","Club","13/07/2006","2004","X-99","JEPPESEN NIELS","X-YACHTS",,
"10","EST","n/a","SAXAD","EST-275","IMS","13/07/2006","2000","X-99","JEPPESEN NIELS","X-YACHTS",,
"11","EST","n/a","LILI MARLEEN","EST-216","Club","13/07/2006","1982","X-95","JEPPESEN NIELS","X-YACHTS",,
"12","EST","n/a","MONIKA","EST 427","IMS","11/07/2006","2006","FINNGULF 33","STRAHLMAN","FINNGULF MARINE",,
"13","EST","n/a","MERION","EST 400","IMS","11/07/2006","2005","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT",,
"14","EST","n/a","TESSA","EST 324","Club","10/07/2006","2002","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS",,
"15","EST","n/a","KATARIINA II","EST 431","Club","10/07/2006","2006","ARCONA 40","QUIBERG STEFAN","BO MARIN",,
"16","EST","n/a","HERMES-X","EST 425","Club","09/07/2006","2006","X-35 OD","JEPPESEN NIELS","X-YACHTS",,
"17","EST","n/a","KROK","RUS 2222","Club","08/07/2006","2001","RIKOSHET 780","SITNIKOV","AERO MARINE",,
"18","EST","n/a","ZARAH MAY","EST-271","IMS","08/07/2006","2000","RIDAS 35","LßNNGREN","RIDAS YACHTS",,
"19","EST","n/a","FANATIC","EST-239","IMS","08/07/2006","1998","GUYLINE 355","LßNNGREN","GLOBOTRON",,
"20","EST","n/a","ENELI","EST 107","Club","08/07/2006","1991","POLARIS","SET","SET",,
"21","EST","n/a","BRIGITTA","EST-295","Club","08/07/2006","1999","CROSS 31",,"RIDAS YACHTS",,
"22","EST","n/a","MEREPARL","EST 406","IMS","08/07/2006","2006","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"23","EST","n/a","MINNI","EST 251","Club","08/07/2006","1992","POLARIS","SET","SET",,
"24","EST","n/a","PILLE-RIIN","EST 24","Club","08/07/2006","1990","POLARIS","SET","SET",,
"25","EST","n/a","EDASI","EST 11","Club","08/07/2006","1985","POLARIS","SET","SET",,
"26","EST","n/a","VIVIDOR","EST 345","Club","08/07/2006","2003","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS",,
"27","EST","n/a","PRIZRAK","RUS 331","Club","27/06/2006","2002","RIKOSHET 780","SITNIKOV","AERO MARINE",,
"28","EST","n/a","Liliann","EST 396","Club","27/06/2006","1982","ONE OFF","NORLIN PETER","JANSSON / ZARINS",,
"29","EST","n/a","ANTARES","RUS 23","n/a","18/06/2006","1982","CONRAD 25","PETTERSON PELLE",,,
"30","EST","n/a","BELLA","EST 301","IMS","18/06/2006","2001","FIRST 31.7","FARR YACHT DESIGN","BENETEAU",,
"31","EST","n/a","LEPA","EST 434","Club","18/06/2006","2006","ELAN 37","HUMPHREYS","ELAN YACHTS",,
"32","EST","n/a","HELENA","EST 395","Club","10/06/2006","2006","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS",,
"33","EST","n/a","LADY BIRD","EST 299","IMS","07/06/2006","2001","LUTRA 395","LUTRA","AKTON YACHTS",,
"34","EST","n/a","NORA","EST415","Club","06/06/2006","2006","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS",,
"35","EST","n/a","SEE YOU","GER 5499","IMS","06/06/2006","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS",,
"36","EST","n/a","PANIC","GER 4472","IMS","06/06/2006","2004","BAVARIA 38 MATCH","JAKOPIN & JAKOPIN / PETERSEN JAN","BAVARIA YACHTS",,
"37","EST","n/a","POHJATAHT","EST 404","Club","04/06/2006",,"BAVARIA 30",,"BAVARIA YACHTS",,
"38","EST","n/a","SANTA MARIA","EST 386","Club","04/06/2006","2005","BRIIS 38","JAKOVLEV B","MASTER YACHT INT",,
"39","EST","n/a","NORD","EST 332","Club","02/06/2006","2002","FINNGULF 33","STRAHLMAN","SAARE PAAT AS",,
"40","EST","n/a","BLANCA","EST 73","Club","01/06/2006","1985","POLARIS","SET","SET",,
"41","EST","n/a","REKI","LAT 163","Club","01/06/2006","1991","POLARIS","SET","SET",,
"42","EST","n/a","ANITA","LAT 5","Club","01/06/2006","1981","CETUS","HOFFMAN E","TELIGA L",,
"43","EST","n/a","SILVA","EST 407","IMS","01/06/2006","2006","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"44","EST","n/a","BELLEVUE","GER 1746","IMS","29/05/2006","1960","FOLKEBOOT KARWEEL",,"A & R",,
"45","EST","n/a","CAPT BLOHM","F    640","Club","29/05/2006","1988","FOLKEBOOT KARWEEL",,"DITTRICH",,
"46","EST","n/a","TRIINI","EST 52","Club","22/05/2006","1977","ALKOR","VCSPS","VCSPS",,
"47","EST","n/a","VICTORIA","EST 311","IMS","21/05/2006","2002","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS",,
"48","EST","n/a","KVARTET","RUS 291","Club","20/05/2006","1978","CONRAD 25","PETERSON DOUG","CONRAD",,
"49","EST","n/a","CAROL","EST 193","Club","20/05/2006","1985","CONRAD 25","PETERSON DOUG","CONRAD",,
"50","EST","n/a","VESILENNUK","EST 94","Club","20/05/2006","1992","POLARIS","SET","SET",,
"51","EST","n/a","GRETEL","EST 280","Club","20/05/2006","2000","DEHLER 39","JUDEL FRIEDRICH / VROELIJK ROLF","DEHLER",,
