"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"52","EST","n/a","CENTAUR","EST 371","IMS","12/05/2006","2005","FIRST 31.7","FARR YACHT DESIGN","BENETEAU",,
"53","EST","n/a","EVELYN II","EST 337","IMS","12/05/2006","2003","FIRST 31.7","FARR YACHT DESIGN","BENETEAU",,
"54","EST","n/a","MESILINDE","EST 296","IMS","11/05/2006","2001","FINNGULF 28 E","STRAHLMAN","SAARE PAAT AS",,
"55","EST","n/a","FUTTE","D 46","Club","11/05/2006","1980","X-79","JEPPESEN NIELS","X-YACHTS",,
"56","EST","n/a","KARINA","EST 267","Club","11/05/2006","1989","CARTER 30","CARTER DICK",,,
"57","EST","n/a","TEMPER","EST-188","Club","11/05/2006","1983","FINNFLYER 31","STILL EIVIND","POLAR YACHTS",,
"58","EST","n/a","LEILA","EST 242","Club","11/05/2006","1998","POLARIS","SET","SET",,
"59","EST","n/a","PIRET","EST 281","Club","11/05/2006","1979","C 24","DUFOUR MICHEL",,,
"60","EST","n/a","Marianne","FRA29007","n/a","06/05/2006",,"BAVARIA 35 MATCH",,,,
"61","EST","n/a","GEORG","EST-278","IMS","06/05/2006","2000","X-332","JEPPESEN NIELS","X-YACHTS",,
"62","EST","n/a","WESIPRUUL","EST 323","Club","03/05/2006","1990","FIRST 35 S5",,"BENETEAU",,
"63","EST","n/a","LETTLAND","LAT 162","IMS","30/04/2006","2002","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"64","EST","n/a","MARIS","EST 174","Club","30/04/2006","1985","CONRAD 25","PETTERSON PELLE",,,
"65","EST","n/a","X-DREAM","EST 313","Club","30/04/2006","1990","X-99","JEPPESEN NIELS","X-YACHTS",,
"66","EST","n/a","ALEXELA","EST 327","Club","30/04/2006","2001","X-99","JEPPESEN NIELS","X-YACHTS",,
"67","EST","n/a","VESILEENU","EST 157","Club","30/04/2006","1991","POLARIS","SET","SET",,
"68","EST","n/a","KADRI","EST 185","Club","30/04/2006",,"CONRAD 760","PETTERSON PELLE","TELIGA L",,
"69","EST","n/a","ENE","EST 93","Club","23/04/2006","1981","CONRAD 25","PETTERSON PELLE",,,
"70","EST","n/a","TERJE","EST 62","Club","23/04/2006","1982","CONRAD 25","PETTERSON PELLE","TELIGA L",,
"71","EST","n/a","VENUS","EST 319","Club","23/04/2006","2002","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS",,
"72","EST","n/a","BOSSA NOVA","EST 379","IMS","23/04/2006","2005","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"73","EST","n/a","SEAPORTING","EST 244","IMS","23/04/2006","1990","X-99","JEPPESEN NIELS","X-YACHTS",,
"74","EST","n/a","MERCURIUS","EST 45","Club","23/04/2006","1987","CARTER 30","CARTER DICK",,,
"75","EST","n/a","VANISHING POINT","EST-31","Club","23/04/2006","1986","X-99","JEPPESEN NIELS","X-YACHTS",,
"76","EST","n/a","VESTA","EST 83","Club","23/04/2006","1985","CETUS","HOFFMAN E","TELIGA L",,
"77","EST","n/a","TORMILIND","EST 90","Club","23/04/2006","1982","CETUS","HOFFMAN E","TELIGA L",,
"78","EST","n/a","DEJA VU","EST 330","IMS","23/04/2006","2003","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT",,
"79","EST","n/a","CASSIOPEIA","EST-272","IMS","23/04/2006","2000","RIDAS 35","LßNNGREN","RIDAS YACHTS",,
"80","EST","n/a","JAZZ","EST 335","IMS","02/04/2006","2003","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"81","EST","n/a","POHJAKONN","EST 333","IMS","02/04/2006","2003","X-362 SPORT","JEPPESEN NIELS","X-YACHTS",,
"82","EST","n/a","TESHIPA","FRA- 9591","Club","31/03/2006","2006","ARCHAMBAULT A35","NIVELT BERNARD","ARCHAMBAULT",,
"83","EST","n/a","NARDA","FRA- 9635","IMS","27/03/2006","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS",,
"84","EST","n/a","TI'TOM","FRA- 9554","Club","07/03/2006","2005","FIRST 44.4 RAC","FARR YACHT DESIGN","BENETEAU",,
