"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00000346","KATARIINA II","EST 949","International","09/09/2018","2017","ONE OFF","COSSUTTI MAURIZIO","RIDAS YACHTS","n/a","601.9"
"2","EST","EST00000342","KATARIINA II","EST 646","Club","31/08/2018","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","620.8"
"3","EST","EST00000331","TECHNONICOL","EST-615","International","22/08/2018","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","569.9"
"4","EST","EST00000329","SUGAR","EST-774","Club","07/08/2018","2014","ITALIA 9.98 F","POLLI","ITALIA YACHTS","n/a","621.8"
"5","EST","EST00000328","SUGAR 2","EST-711","Club","07/08/2018","2010","NAUTILUS MARINA 38","COSSUTTI MAURIZIO","NAUTILUS MARINE","n/a","603.3"
"6","EST","EST00000321","FORTE","EST 475","Club","29/07/2018","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","573.8"
"7","EST","EST00000312","PREMIUM","EST 499","International","14/07/2018","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","570.8"
"8","EST","EST00000307","OLYMPIC","EST 463","International","14/07/2018","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","572.6"
"9","EST","EST00000282","DIRECTO","EST 998","International","28/06/2018","2014","ITALIA 9.98 F","POLLI","ITALIA YACHTS","n/a","627.0"
"10","EST","EST00000279","LEILA","EST 242","Club","28/06/2018","1984","POLARIS","SET","SET","n/a","719.4"
"11","EST","EST00000270","KADRI","EST 185","Club","28/06/2018","1978","CONRAD 25","PETTERSON PELLE","TELIGA L","n/a","737.6"
"12","EST","EST00000260","AMSERV TOYOTA ST","EST 379","Club","24/06/2018","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","616.9"
"13","EST","EST00000245","LAGLE III","EST 554","Club","24/06/2018","1981","FINN EXPRESS 83","STILL EIVIND","NYKRA","n/a","749.5"
"14","EST","EST00000210","KATARINA JEE","EST 464","Club","19/06/2018","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","652.5"
"15","EST","EST00000209","MY-CAR","EST 535","International","19/06/2018","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","612.4"
"16","EST","EST00000208","Eesti Meedia ST","EST 850","International","19/06/2018","2018","ONE OFF","CYD","RIDAS YACHTS","n/a","602.3"
"17","EST","EST00000201","Credit 24 Reval Cafe","EST 703","Club","13/06/2018","2011","SALONA 38","JAKOPIN & JAKOPIN","AD YACHTS","n/a","602.7"
"18","EST","EST00000173","Matilda 3","EST 462","Club","11/06/2018","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","643.8"
"19","EST","EST00000153","MERION","EST 400","Club","28/05/2018","2003","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT","n/a","571.5"
"20","EST","EST00000152","VESIKAAR","EST 678","Club","28/05/2018","2009","T 34","LOSTUZZI MARCO","T-YACHTS","n/a","631.7"
"21","EST","EST00000122","PEGASUS","EST 599","Club","25/05/2018","2006","FIRST 50","BRIAND PHILIPPE","BENETEAU","n/a","551.3"
"22","EST","EST00000116","TUULE","EST 408","Club","16/05/2018","2003","FIRST 44.7","FARR YACHT DESIGN","BENETEAU","n/a","582.3"
"23","EST","EST00000115","VANISHING POINT","EST-31","Club","16/05/2018","1985","X-99","JEPPESEN NIELS","X-YACHTS","n/a","651.9"
"24","EST","EST00000091","MINNI","EST 50","Club","08/05/2018","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","613.0"
"25","EST","EST00000085","FURIOSA","EST 999","International","07/05/2018","2004","COOKSON 50","FARR YACHT DESIGN","COOKSON BOATS","n/a","458.8"
"26","EST","EST00000084","EVELYN III","EST 477","Club","02/05/2018","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","650.9"
"27","EST","EST00000083","Cherie","EST 633","Club","01/05/2018","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","627.3"
"28","EST","EST00000081","ADELE","EST 467","Club","30/04/2018","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","650.1"
"29","EST","EST00000053","BLUE LARK","EST 708","Club","26/04/2018","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","632.2"
"30","EST","EST00000049","SILVA","EST 407","International","26/04/2018","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","632.1"
"31","EST","EST00000051","BRIGITTA-X","EST 606","Club","26/04/2018","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","641.0"
"32","EST","EST00000037","DiWeiss","EST415","Club","24/04/2018","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","634.9"
"33","EST","EST00000036","JAZZ","EST 465","Club","24/04/2018","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","643.0"
