"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","03880001L01","Kerttu","EST F1","Club","16/09/2021","1941","FOLKBOAT","SET",,"754.2","852.6"
"2","EST","03880001KIB","MASU","EST 632","Club","09/09/2021","2007","X-34","X-YACHTS","JEPPESEN NIELS","584.3","656.6"
"3","EST","03880001KI6","Suur Siim","EST 770","Club","08/09/2021","1979","HALLBERG RASSY 312","HALLBERG RASSY","ENDERLEIN OLLE","651.6","731.8"
"4","EST","03880001K7I","Adelante","EST-113","International","02/09/2021","2015","J 112","J BOATS","JOHNSTONE","532.2","596.3"
"5","EST","03880001K75","ESTELLA","EST 970","DH Club","02/09/2021","1981","FENIX","PETTERSSON PELE","PETTERSON PELLE","693.5","781.6"
"6","EST","03880001K1L","ESTELLA","EST 970","Club","31/08/2021","1981","FENIX","PETTERSSON PELE","PETTERSON PELLE","676.5","763.8"
"7","EST","03880001JNB","SUGAR","EST-711","International","25/08/2021","2020","CORSA 915","LIFE YACHTS AB","POLLI","523.0","583.3"
"8","EST","03880001JEV","Matilda 4","EST-112","International","22/08/2021","2015","J 112","J BOATS","JOHNSTONE","534.1","597.7"
"9","EST","03880001JCP","FORTE","EST 475","International","20/08/2021","2006","X-41 OD","X-YACHTS","JEPPESEN NIELS","506.7","566.2"
"10","EST","03880001J6H","LINDA","EST1","Club","17/08/2021","1972","CONRAD 54","YACHTOVA, GDANSK",,"521.5","593.1"
"11","EST","03880001J6F","ANGEL-ROSE II","EST 850","International","17/08/2021","2018","ONE OFF","RIDAS YACHTS","CYD","541.6","609.4"
"12","EST","03880001J6E","AURA","EST762","Club","17/08/2021","1971","ALBIN BALLAD","ALBIN MARINE","MAGNUSSON ROLF","664.1","746.8"
"13","EST","03880001ILP","Clean Energy","EST-44","International","08/08/2021","2021","E 44","ALFA YACHTS","POLLI","475.7","532.5"
"14","EST","03880001ILB","DIRECTO","EST 998","International","08/08/2021","2014","ITALIA 9.98 F","ITALIA YACHTS","POLLI","553.2","619.3"
"15","EST","03880001ILA","MIA","EST 330","International","08/08/2021","2000","GRAND SURPRISE 31","ARCHAMBAULT","NIVELT BERNARD","544.5","609.1"
"16","EST","03880001IL9","SUGAR","EST-774","International","08/08/2021","2014","ITALIA 9.98 F","ITALIA YACHTS","POLLI","550.8","615.7"
"17","EST","03880001IL8","Calena","EST 381","International","08/08/2021","1996","FARR 30 OD","OVINGTON MARINE","FARR YACHT DESIGN","536.4","597.7"
"18","EST","03880001IKQ","Ventus","LAT 710","International","08/08/2021","2005","MELGES 32","MELGES BOAT","REICHEL / PUGH","500.4","554.0"
"19","EST","03880001IJM","JAZZ","EST 935","International","07/08/2021","2009","FIRST 35","BENETEAU","FARR YACHT DESIGN","546.9","611.8"
"20","EST","03880001IIK","MINNI","EST 50","International","06/08/2021","2005","X-35 OD","X-YACHTS","JEPPESEN NIELS","546.0","610.6"
"21","EST","03880001I31","FANATIC","EST-239","International","01/08/2021","1997","GUYLINE 355","GLOBOTRON","LOENNGREN GUY","567.7","636.7"
"22","EST","03880001I2P","SILVA","EST 407","International","01/08/2021","2001","FIRST 36.7","BENETEAU","FARR YACHT DESIGN","559.7","628.1"
"23","EST","03880001I2O","Wizard","EST 745","International","01/08/2021","2018","WAARSCHIP 36","NCD","PELTZER A","523.3","587.8"
"24","EST","03880001I2N","EdelWeiss","EST 678","International","01/08/2021","2009","T 34","T-YACHTS","LOSTUZZI MARCO","560.1","629.5"
"25","EST","03880001HUD","SHADOW","EST900","International","30/07/2021","2020","CORSA 915","LIFE YACHTS AB","POLLI","530.4","592.1"
"26","EST","03880001HRC","HELIN","EST 700","International","29/07/2021","2012","RIDAS 31","RIDAS YACHTS","BLANK DIETER","579.7","651.0"
"27","EST","03880001HP7","LA FOLIE","EST438","Club","29/07/2021","1979","COMFORT 26","COMFORT YACHTS","ALBINSSON","657.1","738.6"
"28","EST","03880001HN4","Riot","EST901","International","28/07/2021","2017","CAPE 31","NOORD","MILLS MARK","485.4","545.1"
"29","EST","03880001HLP","Credit 24 Sailing","EST 703","International","28/07/2021","2011","SALONA 38","AD YACHTS","JAKOPIN & JAKOPIN","538.2","602.9"
"30","EST","03880001HIL","PREMIUM","EST 499","International","27/07/2021","2006","X-41 OD","X-YACHTS","JEPPESEN NIELS","509.3","570.4"
"31","EST","03880001HIF","OLYMPIC","EST 463","International","27/07/2021","2006","X-41 OD","X-YACHTS","JEPPESEN NIELS","509.0","569.9"
"32","EST","03880001HI7","Katariina II","EST-949","International","27/07/2021","2006","SWAN 42 CLUB","NAUTORS","FRERS","482.8","538.3"
"33","EST","03880001HFS","BRIGITTA","EST 295","International","26/07/2021","1999","CROSS 31","RIDAS YACHTS",,"582.2","654.1"
"34","EST","03880001HFO","Sleeper","EST-759","International","26/07/2021","2011","J 11S","J BOATS","JOHNSTONE","524.8","589.8"
"35","EST","03880001HFM","EVELYN III","EST 477","International","26/07/2021","2005","FIRST 34.7","BENETEAU","FARR YACHT DESIGN","569.5","638.8"
"36","EST","03880001HFJ","MY-CAR","EST 535","International","26/07/2021","2005","X-35 OD","X-YACHTS","JEPPESEN NIELS","549.9","617.1"
"37","EST","03880001HFE","AMSERV TOYOTA ST","EST 379","International","26/07/2021","2001","FIRST 36.7","BENETEAU","FARR YACHT DESIGN","555.1","619.1"
"38","EST","03880001HEW","INANNA","EST 969","DH Club","26/07/2021","1991","FIRST 53 F5","BENETEAU","FARR YACHT DESIGN","495.2","558.1"
"39","EST","03880001H19","Merilane","EST959","Club","20/07/2021","1978","ALBIN EXPRESS","ALBIN MARINE","NORLIN PETER","647.1","725.0"
"40","EST","03880001H18","JULECHKA","EST437","Club","20/07/2021","1969","RJ 85","JACOBSSON",,"687.4","764.7"
"41","EST","03880001H16","DOMINA","EST 465","International","20/07/2021","2005","FIRST 34.7","BENETEAU","FARR YACHT DESIGN","570.4","641.0"
"42","EST","03880001FWW","Cassandra","EST 166","International","20/07/2021","2005","FIRST 34.7","FARR YD","BENETEAU","579.7","650.9"
"43","EST","03880001FWF","VESILEENU","EST 157","Club","20/07/2021","1984","POLARIS","SET","SET","640.5","714.3"
"44","EST","03880001FWC","Lea Berenice","EST 929","Club","20/07/2021","1908","AMER. 7.5M","ABO","WESTIN","596.1","670.8"
"45","EST","03880001FF1","KATARINA JEE","EST 464","International","14/07/2021","2005","FIRST 34.7","BENETEAU","FARR YACHT DESIGN","576.9","648.4"
"46","EST","03880001F7K","ADVENTURE","EST 533","Club","12/07/2021","2001","FIRST 36.7","BENETEAU","FARR YACHT DESIGN","558.4","627.0"
"47","EST","03880001F7A","Ninne","EST723","Club","12/07/2021","1981","FENIX","ROOTSI",,"666.1","750.2"
"48","EST","03880001F79","EDDA","EST894","Club","12/07/2021","1981","FENIX","MAXI",,"678.8","766.0"
"49","EST","03880001F0M","Celia","EST-739","Club","08/07/2021","1979","INFERNO 29",,"SODERGREN HAKAN","618.1","689.9"
"50","EST","03880001ERR","Lumi","EST 462","International","07/07/2021","2005","FIRST 34.7","BENETEAU","FARR YACHT DESIGN","571.3","641.9"
"51","EST","03880001ERN","TUULE","EST 408","Club","07/07/2021","2003","FIRST 44.7","BENETEAU","FARR YACHT DESIGN","507.6","568.0"
"52","EST","03880001EOD","Vanishing Point","EST-31","Club","07/07/2021","1985","X-99","X-YACHTS","JEPPESEN NIELS","578.4","651.5"
"53","EST","03880001EO5","HILJA","EST 920","Club","07/07/2021","2009","BAVARIA 32","BAVARIA YACHTS","FARR YACHT DESIGN","636.2","719.6"
"54","EST","03880001EMW","WindWalker","EST479","Club","07/07/2021","2002","BAVARIA 37","BAVARIA YACHTS",,"599.7","680.2"
"55","EST","03880001EMT","INANNA","EST 969","Club","07/07/2021","1991","FIRST 53 F5","BENETEAU","FARR YACHT DESIGN","489.6","552.9"
"56","EST","03880001EMS","FAR-O-ZON","EST750","Club","07/07/2021","1967","H BOAT","BOTNIA MARINE","GROOP HANS","673.1","756.0"
"57","EST","03880001EMP","Azzurra","EST944","Club","07/07/2021","1979","INFERNO 29",,,"620.6","694.1"
"58","EST","03880001EMO","CENTAUR","EST371","DH Club","07/07/2021","1998","FIRST 31.7","BENETEAU","FINOT","628.4","710.4"
"59","EST","03880001E9U","ADELE","EST 467","International","01/07/2021","2005","FIRST 34.7","BENETEAU","FARR YACHT DESIGN","572.8","643.6"
"60","EST","03880001E9S","Cherie","EST 633","International","01/07/2021","2009","FIRST 35","BENETEAU","FARR YACHT DESIGN","556.2","624.0"
"61","EST","03880001E9R","Hope","EST 270","Club","01/07/2021","1979","X-79","X-YACHTS","JEPPESEN NIELS","627.0","703.2"
"62","EST","03880001E9O","Sly","EST248","Club","01/07/2021","1981","MACH 3","FRAM",,"587.8","659.6"
"63","EST","03880001E9K","KATARIINA II","EST 646","Club","01/07/2021","2009","ARCONA 340","ARCONA YACHTS","QUIBERG STEFAN","549.7","616.2"
"64","EST","03880001E9J","Take Off","EST-433","Club","01/07/2021","2007","ELAN 410","ELAN YACHTS","HUMPHREYS","523.7","586.6"
"65","EST","03880001E5H","Felicita","EST366","Club","30/06/2021","1976","BIRDIE 24",,"BECKER HARRY","705.9","792.0"
"66","EST","03880001E5D","SYLVIA","EST 478","Club","30/06/2021","2005","GRAND SOLEIL 43 BC","DEL PARDO","CARKEEK / BOTIN","533.1","602.4"
"67","EST","03880001E5C","AURORA","EST575","Club","30/06/2021","1968","COMPIS 28","KARLSTAD",,"654.2","730.0"
"68","EST","03880001E0W","Mach 1","EST833","Club","29/06/2021","1995","DEHLER 33","DEHLER","JUDEL FRIEDRICH / VROELIJK ROLF","573.8","645.2"
"69","EST","03880001DWP","EDASI","EST 11","Club","28/06/2021","1984","POLARIS","SET","SET","640.8","714.8"
"70","EST","03880001DVD","KAIJA","EST29","DH Club","28/06/2021","1978","OPTY 71","TELIGA L",,"730.2","819.8"
"71","EST","03880001DVC","MERION-X","EST 710","Club","28/06/2021","2010","XP-44","X-YACHTS","JEPPESEN NIELS","489.9","550.5"
"72","EST","03880001DPC","Elukas","EST996","DH Club","25/06/2021","2010","MAXI 650","IDB MARINE","RAISON D","615.0","682.5"
"73","EST","03880001DHD","LAGLE III","EST 554","Club","23/06/2021","1981","FINN EXPRESS 83","NYKRA","STILL EIVIND","662.6","747.6"
"74","EST","03880001DD3","Astrid","EST 983","Club","22/06/2021","1981","FENIX","MAXI",,"682.0","770.1"
"75","EST","03880001D0M","Kira","EST874","Club","18/06/2021","1981","FENIX","ROOTSI",,"671.9","757.8"
"76","EST","03880001CK3","ELEVANTS","EST 220","Club","15/06/2021","1968","COMPIS 28","COMPISBOTAR","ANDERSSON BERNT","672.3","753.3"
"77","EST","03880001CK2","CHANTAL","EST267","Club","15/06/2021","2000","MANNERBERG 31","RAJAKALLIO",,"573.6","643.4"
"78","EST","03880001CBC","BRIGITTA-X","EST 606","International","14/06/2021","2007","X-34","X-YACHTS","JEPPESEN NIELS","568.0","637.6"
"79","EST","03880001CB9","BLACK BIRD","EST574","Club","14/06/2021","1976","BIRDIE 24",,"BECKER HARRY","702.8","787.4"
"80","EST","03880001CB8","Tuuslar","EST 4","Club","14/06/2021","1972","CARTER 30","TELIGA L","CARTER DICK","651.2","729.7"
"81","EST","03880001BWO","Foca","EST532","DH Club","10/06/2021","1995","POGO 650","POGO STRUCTURES",,"618.5","684.2"
"82","EST","03880001BWK","VENUS","EST 319","Club","10/06/2021","1997","RIDAS 35","RIDAS YACHTS","LOENNGREN GUY","574.2","644.1"
"83","EST","03880001BWJ","ATLANDI VÕLG X","EST765","Club","10/06/2021","1985","X-99","X-YACHTS","JEPPESEN NIELS","568.6","639.0"
"84","EST","03880001BW4","ORION","EST156","NS Club","10/06/2021","1977","ORION 20","CONRAD",,"771.4","865.7"
"85","EST","03880001BI4","Pinta","EST 57","Club","08/06/2021","1974","TAURUS","TELIGA L","GOGOLKEVICH","631.8","716.5"
"86","EST","03880001B7T","TEMPER","EST-188","Club","07/06/2021","1983","FINNFLYER 31","POLAR YACHTS","STILL EIVIND","619.1","695.8"
"87","EST","03880001B7S","VIGURPILT","EST134","Club","07/06/2021","1984","POLARIS",,,"639.8","715.9"
"88","EST","03880001B7R","FREYA","EST 571","Club","07/06/2021","2001","FIRST 36.7","BENETEAU","FARR YACHT DESIGN","560.8","629.4"
"89","EST","03880001AUK","VESTA","EST 83","NS Club","03/06/2021","1981","CETUS","TELIGA L","HOFFMAN E","567.7","642.6"
"90","EST","03880001AUI","SARAH-MEE 2","EST661","Club","03/06/2021","2002","SUN ODYSSEY 32","JEANNEAU",,"627.6","705.1"
"91","EST","03880001AUF","MARIA","EST 43","Club","03/06/2021","1972","CARTER 30","TELIGA L",,"658.7","738.7"
"92","EST","03880001AUC","ESTELLE","EST-413","Club","03/06/2021","1978","ALBIN CIRRUS 7.8","ALBIN MARINE","NORLIN PETER","686.1","770.0"
"93","EST","03880001AQH","STELLA II","EST-572","Club","02/06/2021","2002","FIRST 27.7","BENETEAU","FINOT","615.4","694.8"
"94","EST","03880001AQD","Riot","EST901","Club","02/06/2021","2017","CAPE 31","NOORD","MILLS MARK","493.6","554.0"
"95","EST","03880001APT","Wizard","EST 745","DH Club","02/06/2021","2018","WAARSCHIP 36","NCD","PELTZER A","533.8","598.6"
