"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"96","EST","03880001AE3","KADRI","EST 185","Club","31/05/2021","1978","CONRAD 25","TELIGA L","PETTERSON PELLE","656.6","733.7"
"97","EST","03880001AE2","CHILI","EST718","Club","31/05/2021","2008","MAK SEVEN","YACHT SERVICE AB","GONCIARZ LESCEK","604.8","678.8"
"98","EST","03880001AE0","SEABIRD","EST 337","Club","31/05/2021","1998","FIRST 31.7","BENETEAU","FARR YACHT DESIGN","598.3","674.7"
"99","EST","03880001ADV","Argo","EST 460","Club","31/05/2021","1974","COMPIS 28","KARLSTAD","ANDERSSON BERNT","676.3","758.8"
"100","EST","03880001ADT","DEJA VU","EST542","Club","31/05/2021","2016","DUFOUR 382 GL","DUFOUR","FELCI","593.2","672.0"
"101","EST","03880001AD4","ELLI","EST728","Club","31/05/2021","2000","DELPHIA 37","DELPHIA YACHTS","SKRZAT ANDREJ","583.6","658.9"
"102","EST","03880001ACP","LOTE","EST 460","Club","31/05/2021","1971","COMPIS 28","KARLSTAD","ANDERSSON BERNT","670.6","749.7"
"103","EST","03880001A0V","LILIANN","EST 396","Club","28/05/2021","1982","ONE OFF","JANSSON / ZARINS","NORLIN PETER","604.6","674.6"
"104","EST","038800019M1","BELLA","EST25","DH Club","26/05/2021","1976","BELLONA 23","ROOTSI",,"736.7","820.0"
"105","EST","038800019J4","MY-CAR","EST 535","DH Club","25/05/2021","2005","X-35 OD","X-YACHTS","JEPPESEN NIELS","565.5","634.1"
"106","EST","038800019J3","Sleeper","EST-759","DH Club","25/05/2021","2011","J 11S","J BOATS","JOHNSTONE","536.9","601.5"
"107","EST","038800019J1","ERNA","EST207","Club","25/05/2021","1963","L 6","VSPS",,"601.8","679.7"
"108","EST","038800019J0","EC2024-Pärnu","ESTD16","Club","25/05/2021","1929","DRAGON","--","ANKER","668.0","754.2"
"109","EST","038800019IS","Roxanna","EST 748","Club","25/05/2021","1979","X-79","X-YACHTS","JEPPESEN NIELS","633.8","710.6"
"110","EST","038800019IK","Oya","EST355","Club","25/05/2021","1971","MAXI 77","PETTERSSON PELE",,"709.6","801.2"
"111","EST","038800019I3","Marie","EST223","Club","25/05/2021","1984","POLARIS",,,"663.7","745.3"
"112","EST","038800019HK","Jorjen II","EST 49","Club","25/05/2021","1976","CONRAD 25","CONRAD","PETERSON DOUG","681.7","766.4"
"113","EST","038800019E6","Credit 24 Sailing","EST 703","DH Club","25/05/2021","2011","SALONA 38","AD YACHTS","JAKOPIN & JAKOPIN","548.5","612.5"
"114","EST","038800019AT","Dolly","EST427","Club","25/05/2021","1970","OHLSON 29","ARTECNO",,"667.2","751.1"
"115","EST","038800019AR","ÖÖSORR","EST 730","DH Club","25/05/2021","1984","POLARIS","SET","SET","651.7","726.6"
"116","EST","038800019AQ","ÖÖSORR","EST 730","Club","25/05/2021","1984","POLARIS","SET","SET","643.0","719.3"
"117","EST","038800019AN","LEILA","EST 242","Club","25/05/2021","1984","POLARIS","SET","SET","642.5","717.5"
"118","EST","038800019A1","TESSA","EST 324","Club","25/05/2021","1997","RIDAS 35","RIDAS YACHTS","LOENNGREN GUY / RIDAS","576.9","648.2"
"119","EST","0388000199F","Merilane","EST959","DH Club","25/05/2021","1978","ALBIN EXPRESS","ALBIN MARINE","NORLIN PETER","659.5","737.0"
"120","EST","0388000199E","Ragamuffin","EST326","Club","25/05/2021","1978","ALBIN EXPRESS","ALBIN MARINE","NORLIN PETER","652.9","732.6"
"121","EST","0388000199B","Valentina","EST716","Club","25/05/2021","2009","BAVARIA 32","BAVARIA YACHTS","FARR YACHT DESIGN","626.9","709.4"
"122","EST","0388000194N","METTE","EST 343","DH Club","24/05/2021","1981","FENIX","PETTERSSON PELE","PETTERSON PELLE","695.8","785.3"
"123","EST","0388000194M","Adelante","EST-113","DH Club","24/05/2021","2015","J 112","J BOATS","JOHNSTONE","543.3","605.6"
"124","EST","0388000194K","Oya","EST355","DH Club","24/05/2021","1971","MAXI 77","PETTERSSON PELE",,"717.5","808.6"
"125","EST","0388000194I","EdelWeiss","EST 678","DH Club","24/05/2021","2009","T 34","T-YACHTS","LOSTUZZI MARCO","576.7","644.6"
"126","EST","0388000194H","JAZZ","EST 935","DH Club","24/05/2021","2009","FIRST 35","BENETEAU","FARR YACHT DESIGN","580.9","652.4"
"127","EST","0388000194C","CENTAUR","EST371","NS Club","24/05/2021","1998","FIRST 31.7","BENETEAU","FINOT","621.1","704.6"
"128","EST","0388000190E","BLUEBIRD","EST950","Club","21/05/2021","1978","BIRDIE 32",,"BECKER JAN","655.6","738.2"
"129","EST","0388000190D","JÄÄLIND","EST990","Club","21/05/2021","1985","X-99","X-YACHTS","JEPPESEN NIELS","565.3","634.1"
"130","EST","038800018OF","ZUXU","EST 539","Club","19/05/2021","2005","COMET 41 S","COMAR YACHTS","VALLICELLI ANDREA","516.3","578.3"
"131","EST","038800018OE","NORA LII","EST 345","Club","19/05/2021","1997","RIDAS 35","RIDAS YACHTS","LOENNGREN GUY / RIDAS","576.1","647.8"
"132","EST","038800018O8","RIIN","EST 103","Club","19/05/2021","1976","APHRODITE 30",,,"671.3","756.2"
"133","EST","038800018NO","PÕHJATÄHT","EST404","Club","19/05/2021","2005","BAVARIA 30","BAVARIA YACHTS","JAKOPIN & JAKOPIN","622.3","700.4"
"134","EST","038800018NJ","BELLA","EST25","Club","19/05/2021","1976","BELLONA 23","ROOTSI",,"715.1","801.1"
"135","EST","038800018HJ","EMERALD","EST 221","Club","18/05/2021","1997","RIDAS 35","RIDAS YACHTS","LOENNGREN GUY / RIDAS","578.2","649.4"
"136","EST","038800018FE","NELE","EST-51","Club","17/05/2021","1963","L 6","VCSPS",,"609.5","687.8"
"137","EST","038800018FC","GEMMA","EST 637","Club","17/05/2021","1992","POLARIS","SET","SET","643.1","717.5"
"138","EST","038800018EE","Heleena","EST 829","DH Club","17/05/2021","1975","NETTA H-30",,"GROOP HANS","670.3","753.3"
"139","EST","038800018DD","MERION","EST 400","Club","17/05/2021","2003","ARCHAMBAULT A40","ARCHAMBAULT","NIVELT BERNARD","503.5","565.7"
"140","EST","038800017UL","BERTA","EST 619","Club","12/05/2021","2008","ELAN 380","ELAN YACHTS","HUMPHREYS","553.7","621.9"
"141","EST","038800017UD","URD","EST370","Club","12/05/2021","1974","COMFORT 30","COMFORT YACHTS","ALBINSSON","652.6","731.7"
"142","EST","038800017U7","TUULELIND","EST 209","Club","12/05/2021","2010","VARIANTA 44","YC GREIFSWALD","JUDEL FRIEDRICH / VROELIJK ROLF","521.9","589.0"
"143","EST","038800017LU","PLANEER","EST 817","Club","11/05/2021","1998","FIRST 31.7","BENETEAU",,"594.0","669.7"
"144","EST","0388000177M","BORA","EST 733","Club","07/05/2021","1984","POLARIS","SET",,"653.6","731.1"
"145","EST","0388000177H","AUGUST","EST 301","DH Club","07/05/2021","2008","SUN ODYSSEY 30 I","JEANNEAU","LOMBARD MARC","671.7","761.0"
"146","EST","03880001771","VIRU - I","EST 95","Club","07/05/2021","1978","CONRAD 25",,"PETTERSON PELLE","659.8","738.0"
"147","EST","03880001770","GEORG","EST-278","Club","07/05/2021","1994","X-332","X-YACHTS","JEPPESEN NIELS","575.8","646.4"
"148","EST","0388000176Q","SANTA MARIA","EST 386","Club","07/05/2021","2005","BRIIS 38","MASTER YACHT INT","JAKOVLEV B","525.8","589.6"
"149","EST","0388000176I","METTE","EST 343","Club","07/05/2021","1981","FENIX","PETTERSSON PELE","PETTERSON PELLE","675.8","762.6"
"150","EST","0388000174C","MERCURIUS","EST 45","Club","07/05/2021","1975","CARTER 30","TELIGA L","CARTER DICK","656.8","737.0"
"151","EST","038800016P3","KESSU","EST 877","Club","05/05/2021","1974","BECKER 27","BK MARINE",,"702.0","789.9"
"152","EST","038800016P2","SINILIND","EST 520","Club","05/05/2021","1993","BAVARIA 33","BAVARIA YACHTS",,"592.8","668.7"
"153","EST","038800016P1","LILY","EST136","Club","05/05/2021","1999","BAVARIA 34",,,"606.5","687.1"
"154","EST","038800015T5","ANETE","EST241","Club","30/04/2021","1978","ALBIN CIRRUS 7.8",,"NORLIN PETER","692.4","776.3"
"155","EST","038800015Q2","DiWeiss","EST415","DH Club","29/04/2021","2004","BAVARIA 35 MATCH","BAVARIA YACHTS","JAKOPIN & JAKOPIN","588.2","662.7"
"156","EST","038800015PO","LUST","EST 284","Club","29/04/2021","1969","RJ 85","JACOBSSON",,"680.8","760.3"
"157","EST","038800015E6","LIZA 1","EST734","Club","27/04/2021","1978","EXTRA PAULETTE",,"NIVELT BERNARD","662.2","741.6"
"158","EST","038800015E5","New Deal","EST725","Club","27/04/2021","1981","MAXI MIXER 35","MAXI","PETTERSON PELLE","609.7","687.0"
"159","EST","038800015E4","DiWeiss","EST415","Club","27/04/2021","2004","BAVARIA 35 MATCH","BAVARIA YACHTS","JAKOPIN & JAKOPIN","563.5","631.3"
"160","EST","038800014UJ","Christlyn","EST680","Club","22/04/2021","2009","HANSE 325","HANSE YACHTS",,"611.8","689.9"
"161","EST","038800013KC","CENTAUR","EST371","Club","15/04/2021","1998","FIRST 31.7","BENETEAU","FINOT","592.2","667.8"
"162","EST","0388000139I","S/Y Moonrose","EST898","DH Club","13/04/2021","1969","SCAMPI 30","ALBIN MARINE","NORLIN PETER","649.0","726.5"
"163","EST","0388000139H","Skane Saga","EST F40","DH Club","13/04/2021","1941","FOLKBOAT","SET",,"777.6","874.4"
"164","EST","03880001364","MARY LOU","EST 688","Club","11/04/2021","1969","RJ 85","JACOBSSON",,"683.5","764.8"
"165","EST","038800010SB","W-Lind","EST F32","DH Club","29/03/2021","1941","FOLKBOAT","SET",,"777.6","874.4"
"166","EST","038800010S8","W-Lind","EST F32","Club","29/03/2021","1941","FOLKBOAT","SET",,"743.3","836.0"
