"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","n/a","MY FIRST","EST-60","IMS","17/07/2004","1991","FIRST 45 F5","FARR YACHT DESIGN","BENETEAU",,
"2","EST","n/a","FORTUNA","LAT 414","Club","17/07/2004","1996","GIBSEA 414","HUMPHREYS",,,
"3","EST","n/a","BELLA","EST 301","Club","17/07/2004","2001","FIRST 31.7","FARR YACHT DESIGN","BENETEAU",,
"4","EST","n/a","TEMPER","EST-188","Club","17/07/2004","1983","FINNFLYER 31","STILL EIVIND","POLAR YACHTS",,
"5","EST","n/a","MESILIND","EST 296","Club","17/07/2004","2001","FINNGULF 28 E","STRAHLMAN","SAARE PAAT AS",,
"6","EST","n/a","ALEXELA","EST 327","Club","15/07/2004","2001","X-99","JEPPESEN NIELS","X-YACHTS",,
"7","EST","n/a","LETTLAND","LAT 94","IMS","14/07/2004","2002","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"8","EST","n/a","CASSIOPEIA","EST-272","n/a","13/07/2004","2000","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS",,
"9","EST","n/a","RUBY","EST 330","Club","13/07/2004","2003","GRAND SURPRISE 31","NIVELT BERNARD",,,
"10","EST","n/a","CALVA","EST-241","n/a","30/06/2004","1994","X-99","JEPPESEN NIELS","X-YACHTS",,
"11","EST","n/a","FANATIC","EST-239","IMS","16/06/2004","1998","GUYLINE 355","LOENNGREN GUY","GLOBOTRON",,
"12","EST","n/a","ETERNAL LINE","SUI 3804","IMS","10/06/2004","2004","BAVARIA 38 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS",,
"13","EST","n/a","FANATIX",,"IMS","08/06/2004","1998",,,,,
"14","EST","n/a","GEORG","EST-278","IMS","08/06/2004","2000","X-332","JEPPESEN NIELS","X-YACHTS",,
"15","EST","n/a","GRETEL","EST 280","Club","08/06/2004","2000","DEHLER 39","JUDEL FRIEDRICH / VROELIJK ROLF","DEHLER",,
"16","EST","n/a","BRIGITTA","EST-295","Club","08/06/2004","1999","CROSS 31",,"RIDAS YACHTS",,
"17","EST","n/a","ENEL","EST 353","Club","08/06/2004","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS",,
"18","EST","n/a","EVELYN II","EST 337","Club","08/06/2004","2003","FIRST 31.7","FARR YACHT DESIGN","BENETEAU",,
"19","EST","n/a","SEAPORTING","EST 244","IMS","27/05/2004","1990","X-99","JEPPESEN NIELS","X-YACHTS",,
"20","EST","n/a","MERIT","EST 320","IMS","25/05/2004","2001","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT",,
"21","EST","n/a","JAZZ","EST 335","IMS","25/05/2004","2003","FIRST 36.7","FARR YACHT DESIGN","BENETEAU",,
"22","EST","n/a","PHOENIX","EST-229","IMS","25/05/2004","1991","X-99","JEPPESEN NIELS","X-YACHTS",,
"23","EST","n/a","POHJAKONN","EST 333","IMS","25/05/2004","2003","X-362 SPORT","JEPPESEN NIELS","X-YACHTS",,
"24","EST","n/a","LADY BIRD","EST 299","IMS","25/05/2004","2001","LUTRA 395","LUTRA","AKTON YACHTS",,
"25","EST","n/a","VICTORIA","EST 311","IMS","01/02/2004","2002","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS",,
