"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","03880000QEK","PREMIUM","EST 499","Club","16/09/2020","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","567.6"
"2","EST","03880000QBO","NORA LII","EST 345","Club","15/09/2020","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","648.8"
"3","EST","03880000Q2Q","EdelWeiss","EST 678","Club","09/09/2020","2009","T 34","LOSTUZZI MARCO","T-YACHTS","n/a","626.7"
"4","EST","03880000Q02","WIZARD","EST 745","Club","08/09/2020","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","628.6"
"5","EST","03880000OVU","MASU","EST 632","Club","25/08/2020","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","646.0"
"6","EST","03880000OMU","BLUEBIRD","SWE9507","Club","19/08/2020","1978","BIRDIE 32","BECKER JAN",,"n/a","727.1"
"7","EST","03880000OLI","Katariina II","EST-949","International","18/08/2020","2006","SWAN 42 CLUB","FRERS","NAUTORS","n/a","539.4"
"8","EST","03880000OIF","LILY","EST136","Club","14/08/2020","1999","BAVARIA 34",,,"n/a","689.2"
"9","EST","03880000OHM","VESTA","EST 83","Club","14/08/2020","1981","CETUS","HOFFMAN E","TELIGA L","n/a","642.2"
"10","EST","03880000O8R","LEILA","EST 242","Club","10/08/2020","1984","POLARIS","SET","SET","n/a","717.7"
"11","EST","03880000O8M","BLUE LARK","EST 708","Club","10/08/2020","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","627.8"
"12","EST","03880000O6K","TESSA","EST 324","Club","09/08/2020","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","648.3"
"13","EST","03880000O22","KATARIINA II","EST 646","Club","06/08/2020","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","618.2"
"14","EST","03880000O1R","Prosecco","EST746","Club","05/08/2020","1982","YPTON 22","CZERWONKA ULRICH","BERLIN YW","n/a","818.8"
"15","EST","03880000NWA","MY-CAR","EST 535","Club","04/08/2020","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","616.2"
"16","EST","03880000NW9","Matilda 4","EST-112","Club","04/08/2020","2015","J 112","JOHNSTONE","J BOATS","n/a","598.5"
"17","EST","03880000NW3","FORTE","EST 475","Club","04/08/2020","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","571.5"
"18","EST","03880000NW1","BELLA","EST25","DH Club","04/08/2020","1976","BELLONA 23",,"ROOTSI","n/a","825.9"
"19","EST","03880000NVW","Adelante","EST-113","Club","04/08/2020","2015","J 112","JOHNSTONE","J BOATS","n/a","595.6"
"20","EST","03880000NVV","Wesilind","EST583","Club","04/08/2020","1993","ELAN 344 IMPRESSION",,"ELAN YACHTS","n/a","760.3"
"21","EST","03880000NVS","CHILI","EST718","Club","04/08/2020","2008","MAK SEVEN","GONCIARZ LESCEK","YACHT SERVICE AB","n/a","679.0"
"22","EST","03880000NVO","POSTIMEES SAILING TEAM","EST 850","Club","04/08/2020","2018","ONE OFF","CYD","RIDAS YACHTS","n/a","600.8"
"23","EST","03880000NSL","Oya","EST355","DH Club","04/08/2020","1971","MAXI 77",,"PETTERSSON PELE","n/a","833.8"
"24","EST","03880000N3R","KATARINA JEE","EST 464","Club","24/07/2020","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","646.8"
"25","EST","03880000N25","AMSERV TOYOTA ST","EST 379","Club","23/07/2020","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","625.5"
"26","EST","03880000N1C","Heleena","EST 829","Club","23/07/2020","1975","NETTA H-30","GROOP HANS",,"n/a","730.3"
"27","EST","03880000MTK","Kira","EST874","Club","21/07/2020","1981","FENIX",,"ROOTSI","n/a","782.8"
"28","EST","03880000MTI","OLYMPIC","EST 463","Club","21/07/2020","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","570.8"
"29","EST","03880000MTE","BRIGITTA-X","EST 606","Club","21/07/2020","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","637.0"
