"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","043400029U2","Viktoria","EST415","Club","12/10/2022","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","565.8","637.2"
"2","EST","0434000298L","MASU","EST 632","International","17/09/2022","2007","X-34","JEPPESEN NIELS","X-YACHTS","575.9","646.6"
"3","EST","043400028V1","JADE","EST 781","NS Club","07/09/2022","1963","ARIETTA 31","ENDERLEIN OLLE",,"643.8","729.7"
"4","EST","043400028ST","AQUILA","EST 872","Club","05/09/2022","1986","DEHLER OPTIMA 101","VAN DE STADT","DEHLER","622.2","703.2"
"5","EST","043400028R0","NOLA","EST 773","International","02/09/2022","2015","J 112","JOHNSTONE","J BOATS","532.8","597.7"
"6","EST","043400028QI","Clean Energy","EST-44","International","01/09/2022","2021","E 44","POLLI","ALFA YACHTS","474.5","531.5"
"7","EST","043400028QH","MIA","EST 330","International","01/09/2022","2000","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT","546.3","613.5"
"8","EST","043400028PB","VESILEENU","EST 157","International","01/09/2022","1984","POLARIS","SET","SET","649.3","726.4"
"9","EST","043400028MI","ESTELLA","EST 970","Club","29/08/2022","1981","FENIX","PETTERSON PELLE","PETTERSSON PELE","681.6","770.7"
"10","EST","043400028MD","XS","EST 790","Club","29/08/2022","1979","X-79","JEPPESEN NIELS",,"626.0","702.4"
"11","EST","043400028MB","AMSERV TOYOTA ST","EST 379","International","29/08/2022","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","554.2","618.8"
"12","EST","043400028L9","Wizard","EST 745","International","26/08/2022","2018","WAARSCHIP 36","PELTZER A","NCD","526.6","593.1"
"13","EST","043400028I3","AURA","EST762","Club","24/08/2022","1971","ALBIN BALLAD","MAGNUSSON ROLF","ALBIN MARINE","667.3","751.8"
"14","EST","043400028HW","GEMMA","EST 637","Club","24/08/2022","1992","POLARIS","SET","SET","648.0","725.8"
"15","EST","043400028CC","FORTE","EST 475","International","18/08/2022","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","505.8","565.6"
"16","EST","043400028C4","SIREN","EST 540","Club","18/08/2022","2006","HANSE 400","JUDEL FRIEDRICH / VROELIJK ROLF","HANSE YACHTS","530.1","594.1"
"17","EST","0434000288R","Vanishing Point","EST-31","Club","17/08/2022","1985","X-99","JEPPESEN NIELS","X-YACHTS","581.4","656.4"
"18","EST","04340002883","Matilda 4","EST-112","International","16/08/2022","2015","J 112","JOHNSTONE","J BOATS","531.1","595.3"
"19","EST","04340002876","Pinta","EST 57","Club","15/08/2022","1974","TAURUS","GOGOLKEVICH","TELIGA L","632.4","718.0"
"20","EST","0434000281P","SUGAR","EST-774","International","09/08/2022","2014","ITALIA 9.98 F","POLLI","ITALIA YACHTS","550.3","616.6"
"21","EST","0434000281B","PEGASUS","EST 599","Club","08/08/2022","2006","FIRST 50","BRIAND PHILIPPE","BENETEAU","490.2","551.5"
"22","EST","043400027TE","ESTELLA","EST 970","DH Club","03/08/2022","1981","FENIX","PETTERSON PELLE","PETTERSSON PELE","690.7","779.6"
"23","EST","043400027Q3","Shadow","EST 113","International","29/07/2022","2015","J 112","JOHNSTONE","J BOATS","531.3","595.9"
"24","EST","043400027PE","FANATIC","EST-239","International","29/07/2022","1997","GUYLINE 355","LOENNGREN GUY","GLOBOTRON","574.1","646.0"
"25","EST","043400027P9","KATARIINA II","EST 646","International","29/07/2022","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","547.5","612.8"
"26","EST","043400027OC","OLYMPIC","EST 463","International","28/07/2022","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","508.1","569.3"
"27","EST","043400027O9","JADE","EST 781","Club","28/07/2022","1963","ARIETTA 31","ENDERLEIN OLLE",,"617.5","696.4"
"28","EST","043400027JP","AZZURRA","EST 779","Club","25/07/2022","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","564.5","634.3"
"29","EST","043400027DR","HILJA","EST 920","DH Club","21/07/2022","2009","BAVARIA 32","FARR YACHT DESIGN","BAVARIA YACHTS","670.0","763.8"
