"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"17","EST","EST00003030","SUGAR","EST 678","Club","02/07/2012","2009","T 34","LOSTUZZI MARCO","T-YACHTS","n/a","635.7"
"18","EST","EST00003018","BLANCA","EST 73","Club","29/06/2012","1984","POLARIS","SET","SET","n/a","730.1"
"19","EST","EST00003017","OLYMPIC ONLINE","EST 463","International","29/06/2012","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","579.7"
"20","EST","EST00003015","MEREPÄRL","EST 406","International","29/06/2012","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","634.6"
"21","EST","EST00003014","MASU","EST 632","International","29/06/2012","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","648.0"
"22","EST","EST00003013","JUKO","EST 405","Club","28/06/2012","1984","POLARIS","SET","SET","n/a","729.1"
"23","EST","EST00003007","MINNI","EST 751","Club","28/06/2012","2003","RIDAS 26","BLANK DIETER","RIDAS YACHTS","n/a","700.4"
"24","EST","EST00003004","ENEL","EST 353","Club","28/06/2012","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS","n/a","660.6"
"25","EST","EST00003003","MIA","EST 330","International","28/06/2012","2000","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT","n/a","648.5"
"26","EST","EST00002992","PASSIONE","EST 462","International","26/06/2012","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","648.6"
"27","EST","EST00002976","PILLE-RIIN","EST 24","Club","25/06/2012","1984","POLARIS","SET","SET","n/a","728.9"
"28","EST","EST00002975","SILVA","EST 407","International","24/06/2012","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","631.2"
"29","EST","EST00002961","Cherie","EST 633","International","23/06/2012","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","627.6"
"30","EST","EST00002953","ADVENTURE","EST 533","International","20/06/2012","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","630.2"
"31","EST","EST00002952","VESIKAAR","EST 700","Club","19/06/2012","2012","RIDAS 31","BLANK DIETER","RIDAS YACHTS","n/a","653.5"
"32","EST","EST00002944","LOVIISE","EST 194","Club","14/06/2012","1990","POLARIS","SET","SET","n/a","723.4"
"33","EST","EST00002935","JAZZ","EST 465","International","12/06/2012","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","648.8"
"34","EST","EST00002930","MATILDA","EST 631","International","11/06/2012","2007","ELAN 340","HUMPHREYS","ELAN YACHTS","n/a","655.8"
"35","EST","EST00002928","MY FIRST","EST 60","Club","10/06/2012","1991","FIRST 45 F5","FARR YACHT DESIGN","BENETEAU","n/a","605.7"
"36","EST","EST00002903","MIA MIA","EST 685","Club","06/06/2012","2010","FIRST 30","KUJUMDJAN JUAN","BENETEAU","n/a","646.2"
"37","EST","EST00002900","MERIKOTKAS","EST 200","Club","06/06/2012","1984","POLARIS","SET","SET","n/a","726.6"
"38","EST","EST00002899","ASTRAIA","EST 69","Club","06/06/2012","1992","POLARIS","SET","SET","n/a","725.6"
"39","EST","EST00002884","TUULE","EST 408","Club","01/06/2012","2003","FIRST 44.7","FARR YACHT DESIGN","BENETEAU","n/a","579.1"
"40","EST","EST00002883","MY-CAR","EST 535","International","31/05/2012","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","619.9"
"41","EST","EST00002880","GEMMA","EST 637","Club","30/05/2012","1992","POLARIS","SET","SET","n/a","727.3"
"42","EST","EST00002877","LUISA","EST 541","Club","29/05/2012","1981","MAXI FENIX","PETTERSON PELLE","MOLNLYCKE","n/a","763.0"
"43","EST","EST00002876","LAGLE II","EST 251","Club","29/05/2012","1984","POLARIS","SET","SET","n/a","737.5"
"44","EST","EST00002875","EDASI","EST 11","Club","29/05/2012","1984","POLARIS","SET","SET","n/a","728.6"
"45","EST","EST00002865","VENUS","EST 319","Club","24/05/2012","1997","RIDAS 35","LOENNGREN GUY","RIDAS YACHTS","n/a","656.9"
"46","EST","EST00002850","BERTA","EST 619","Club","17/05/2012","2008","ELAN 380","HUMPHREYS","ELAN YACHTS","n/a","627.7"
"47","EST","EST00002840","NORA","EST415","Club","16/05/2012","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","635.7"
"48","EST","EST00002839","PÕHJAKONN","EST 333","International","15/05/2012","1993","X-362 SPORT","JEPPESEN NIELS","X-YACHTS","n/a","641.6"
"49","EST","EST00002834","FREYA","EST 571","Club","14/05/2012","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","633.2"
"50","EST","EST00002831","FANATIC","EST-239","International","14/05/2012","1997","GUYLINE 355","LOENNGREN GUY","GLOBOTRON","n/a","643.2"
"51","EST","EST00002830","LEILA","EST 242","Club","14/05/2012","1984","POLARIS","SET","SET","n/a","728.1"
"52","EST","EST00002829","AHTI","EST F-19","Club","11/05/2012","1941","FOLKBOAT",,"TALLINNA SLKT","n/a","845.7"
"53","EST","EST00002826","KATARINA JEE","EST 464","International","10/05/2012","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","652.2"
"54","EST","EST00002822","LOTE","EST 460","Club","10/05/2012","1974","COMPIS 28","ANDERSSON BERNT","KARLSTAD","n/a","772.7"
"55","EST","EST00002821","ENE","EST 93","Club","10/05/2012","1978","CONRAD 25","PETTERSON PELLE",,"n/a","745.7"
"56","EST","EST00002804","KADRI","EST 185","Club","09/05/2012","1978","CONRAD 25","PETTERSON PELLE","TELIGA L","n/a","748.1"
"57","EST","EST00002803","MARIS","EST 174","Club","09/05/2012","1978","CONRAD 25","PETTERSON PELLE",,"n/a","759.0"
"58","EST","EST00002800","ZOO","EST 430","Club","09/05/2012","1979","BANNER 28 RACER MKII","OUDRUP","FIBERBADE","n/a","686.5"
"59","EST","EST00002799","TRIINI","EST 52","Club","09/05/2012","1977","ALKOR","VCSPS","VCSPS","n/a","679.3"
"60","EST","EST00002795","MADICKEN","EST 389","Club","08/05/2012","1982","FINN 26","STILL EIVIND",,"n/a","772.9"
"61","EST","EST00002791","VESILEENU","EST 157","Club","07/05/2012","1984","POLARIS","SET","SET","n/a","729.7"
"62","EST","EST00002790","GEORG","EST-278","Club","07/05/2012","1994","X-332","JEPPESEN NIELS","X-YACHTS","n/a","657.2"
"63","EST","EST00002787","WindWalker","EST479","Club","07/05/2012","2003","BAVARIA 37",,"BAVARIA YACHTS","n/a","677.3"
"64","EST","EST00002783","SOPHIA","EST 480","International","06/05/2012","2002","DUFOUR 40","FELCI","DUFOUR","n/a","627.3"
"65","EST","EST00002781","VILLU","EST 102","Club","02/05/2012","1975","CARTER 30","CARTER DICK","TELIGA L","n/a","745.4"
"66","EST","EST00002775","MERIHUNT","EST 270","Club","30/04/2012","1979","X-79","JEPPESEN NIELS","X-YACHTS","n/a","706.0"
"67","EST","EST00002733","BRIGITTA-X","EST 606","International","30/04/2012","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","646.4"
"68","EST","EST00002720","CENTAUR","EST 371","Club","29/04/2012","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","n/a","683.2"
"69","EST","EST00002683","VIRU - I","EST 95","Club","27/04/2012","1978","CONRAD 25","PETTERSON PELLE",,"n/a","749.0"
"70","EST","EST00002682","CAROL","EST 193","Club","27/04/2012","1978","CONRAD 25","PETTERSON PELLE",,"n/a","756.9"
"71","EST","EST00002681","EVELYN III","EST 477","International","27/04/2012","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","650.5"
"72","EST","EST00002678","LILIANN","EST 396","Club","27/04/2012","1982","ONE OFF","NORLIN PETER","JANSSON / ZARINS","n/a","684.1"
"73","EST","EST00002676","SEABIRD","EST 337","Club","27/04/2012","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","n/a","684.5"
"74","EST","EST00002670","CASSANDRA","EST 513","Club","24/04/2012","1972","MORE 30",,,"n/a","764.3"
"75","EST","EST00002669","TORMILIND","EST 90","Club","21/04/2012","1981","CETUS","HOFFMAN E","TELIGA L","n/a","609.6"
"76","EST","EST00002666","SANTA MARIA","EST 386","International","21/04/2012","2005","BRIIS 38","JAKOVLEV B","MASTER YACHT INT","n/a","588.9"
"77","EST","EST00002664","ESTELLA","EST 668","Club","21/04/2012","1985","CONRAD 25","PETTERSON PELLE",,"n/a","757.8"
"78","EST","EST00002646","TESSA","EST 324","Club","14/04/2012","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","653.7"
"79","EST","EST00002645","BRIGITTA","EST 295","Club","07/04/2012","1999","CROSS 31",,"RIDAS YACHTS","n/a","665.9"
"80","EST","EST00002644","BOSSA NOVA","EST 379","International","07/04/2012","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","630.7"
"81","EST","EST00002643","MERCURIUS","EST 45","Club","07/04/2012","1975","CARTER 30","CARTER DICK",,"n/a","751.6"
