"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00003132","LADY BIRD","EST 299","Club","25/09/2012","2001","AKTON 395","LUTRA","AKTON YACHTS","n/a","580.8"
"2","EST","EST00003131","SUGAR 2","EST-711","Club","25/09/2012","2010","NAUTILUS MARINA 38","COSSUTTI MAURIZIO","NAUTILUS MARINE","n/a","623.8"
"3","EST","EST00003128","FORTE","EST 475","Club","10/09/2012","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","574.4"
"4","EST","EST00003118","AMSERV","EST 550","International","20/08/2012","2003","GRAND SOLEIL 42 R","CARKEEK / BOTIN","DEL PARDO","n/a","573.8"
"5","EST","EST00003117","PÕRGATAJA","EST 647","Club","14/08/2012","2007","ELAN 340","HUMPHREYS","ELAN YACHTS","n/a","654.4"
"6","EST","EST00003115","Bellatrix","EST 499","International","01/08/2012","2007","X-41 OD",,"X-YACHTS","n/a","578.2"
"7","EST","EST00003112","ALBATROSS","EST 699","International","01/08/2012","2010","XP-44","JEPPESEN NIELS","X-YACHTS","n/a","558.6"
"8","EST","EST00003109","SYLVIA","EST 478","International","31/07/2012","2006","GRAND SOLEIL 43 BC","CARKEEK / BOTIN","DEL PARDO","n/a","600.7"
"9","EST","EST00003108","ADELE","EST 467","International","31/07/2012","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","652.4"
"10","EST","EST00003100","KATARINA II","EST 646","International","25/07/2012","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","639.4"
"11","EST","EST00003073","AURORA","EST 575","Club","22/07/2012","1974","COMPIS 28","ANDERSSON BERNT","KARLSTAD","n/a","745.6"
"12","EST","EST00003052","MERION","EST 400","International","15/07/2012","2003","ARCHAMBAULT A40","NIVELT BERNARD","ARCHAMBAULT","n/a","593.3"
"13","EST","EST00003051","PEGASUS","EST 599","Club","15/07/2012","2006","FIRST 50","BRIAND PHILIPPE","BENETEAU","n/a","563.6"
"14","EST","EST00003050","MAORI","EST 672","International","04/07/2012","1995","PLATU 25 OD","FARR YACHT DESIGN","BENETEAU","n/a","679.8"
"15","EST","EST00003040","RED HOT","EST 453","International","02/07/2012","1991","JEANNEAU 35 OD","ANDRIEU DANIEL","JEANNEAU","n/a","641.2"
"16","EST","EST00003036","PREMIUM","EST 499","International","02/07/2012","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","581.0"
