"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00001582","OLYMPIC","EST 463","Club","13/09/2017","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","575.4"
"2","EST","EST00001579","SUGAR 2","EST-711","Club","29/08/2017","2010","NAUTILUS MARINA 38","COSSUTTI MAURIZIO","NAUTILUS MARINE","n/a","608.8"
"3","EST","EST00001577","AMSERV TOYOTA ST","EST 379","Club","26/08/2017","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","618.7"
"4","EST","EST00001576","MY-CAR","EST 535","Club","22/08/2017","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","617.3"
"5","EST","EST00001572","KATARIINA II","EST 949","Club","15/08/2017","2017","ONE OFF","COSSUTTI MAURIZIO","RIDAS YACHTS","n/a","604.8"
"6","EST","EST00001568","PREMIUM","EST 499","Club","15/08/2017","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","577.7"
"7","EST","EST00001535","FORTE","EST 475","International","26/07/2017","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","578.4"
"8","EST","EST00001526","TECHNONICOL","EST-615","International","18/07/2017","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","574.3"
"9","EST","EST00001523","ADELE","EST 467","International","17/07/2017","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","651.9"
"10","EST","EST00001520","KATARIINA II","EST 646","International","16/07/2017","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","625.9"
"11","EST","EST00001506","DIRECTO","EST 998","International","16/07/2017","2014","ITALIA 9.98 F","POLLI","ITALIA YACHTS","n/a","629.6"
"12","EST","EST00001505","Matilda 3","EST 462","International","16/07/2017","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","648.8"
"13","EST","EST00001504","JAZZ","EST 465","International","16/07/2017","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","645.9"
"14","EST","EST00001463","EVELYN III","EST 477","Club","05/07/2017","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","654.7"
"15","EST","EST00001461","TUULE","EST 408","Club","01/07/2017","2003","FIRST 44.7","FARR YACHT DESIGN","BENETEAU","n/a","585.1"
"16","EST","EST00001460","KATARINA JEE","EST 464","Club","01/07/2017","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","656.4"
"17","EST","EST00001455","BLANCA","EST 73","Club","27/06/2017","1984","POLARIS","SET","SET","n/a","721.9"
"18","EST","EST00001453","ELEANORA","EST 815","Club","27/06/2017","2012","DEHLER 38","JUDEL FRIEDRICH / VROELIJK ROLF","HANSE YACHTS","n/a","615.5"
"19","EST","EST00001426","FURIOSA","EST 999","International","19/06/2017","2004","COOKSON 50","FARR YACHT DESIGN","COOKSON BOATS","n/a","464.1"
"20","EST","EST00001420","LADY BIRD","EST 299","Club","14/06/2017","2001","AKTON 395","LUTRA","AKTON YACHTS","n/a","579.0"
"21","EST","EST00001416","LAGLE II","EST 251","Club","12/06/2017","1984","POLARIS","SET","SET","n/a","735.5"
"22","EST","EST00001414","MINNI","EST 50","International","12/06/2017","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","616.1"
"23","EST","EST00001409","NaVi Alvadi","EST415","Club","12/06/2017","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","639.1"
"24","EST","EST00001403","REVAL CAFE","EST 703","International","12/06/2017","2011","SALONA 38","JAKOPIN & JAKOPIN","AD YACHTS","n/a","607.7"
"25","EST","EST00001378","PEGASUS","EST 599","Club","05/06/2017","2006","FIRST 50","BRIAND PHILIPPE","BENETEAU","n/a","554.6"
"26","EST","EST00001369","FREYA","EST 571","Club","31/05/2017","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","636.6"
"27","EST","EST00001366","MASU","EST 632","Club","29/05/2017","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","650.6"
"28","EST","EST00001365","SYLVIA","EST 478","Club","29/05/2017","2006","GRAND SOLEIL 43 BC","CARKEEK / BOTIN","DEL PARDO","n/a","602.1"
"29","EST","EST00001360","LEILA","EST 242","Club","26/05/2017","1984","POLARIS","SET","SET","n/a","724.5"
"30","EST","EST00001358","MEREPÄRL","EST 406","Club","25/05/2017","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","637.1"
"31","EST","EST00001342","MERION-X","EST 710","Club","23/05/2017","2010","XP-44","JEPPESEN NIELS","X-YACHTS","n/a","557.2"
"32","EST","EST00001324","Cherie","EST 633","Club","08/05/2017","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","630.7"
"33","EST","EST00001321","SILVA","EST 407","Club","03/05/2017","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","635.4"
"34","EST","EST00001318","BLUE LARK","EST 708","Club","29/04/2017","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","646.6"
"35","EST","EST00001308","MIA MIA","EST 685","Club","26/04/2017","2010","FIRST 30","KUJUMDJAN JUAN","BENETEAU","n/a","656.3"
"36","EST","EST00001306","TUULELIND","EST 209","Club","26/04/2017","2010","VARIANTA 44","JUDEL FRIEDRICH / VROELIJK ROLF","YC GREIFSWALD","n/a","595.0"
"37","EST","EST00001302","BRIGITTA-X","EST 606","Club","24/04/2017","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","649.2"
"38","EST","EST00001300","VESIKAAR","EST 678","Club","23/04/2017","2009","T 34","LOSTUZZI MARCO","T-YACHTS","n/a","635.9"
