"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00003757","MY-CAR","EST 535","International","10/09/2013","2005","X-35 OD","JEPPESEN NIELS","X-YACHTS","n/a","616.3"
"2","EST","EST00003756","SUGAR 2","EST-711","Club","09/09/2013","2010","NAUTILUS MARINA 38","COSSUTTI MAURIZIO","NAUTILUS MARINE","n/a","610.2"
"3","EST","EST00003747","PASSIONE","EST 462","Club","03/09/2013","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","650.3"
"4","EST","EST00003746","REVAL CAFE","EST 703","Club","02/09/2013","2011","SALONA 38","JAKOPIN & JAKOPIN","AD YACHTS","n/a","610.3"
"5","EST","EST00003721","MERION-X","EST 710","Club","25/08/2013","2010","XP-44","JEPPESEN NIELS","X-YACHTS","n/a","549.5"
"6","EST","EST00003720","AMSERV","EST 550","Club","20/08/2013","2003","GRAND SOLEIL 42 R","CARKEEK / BOTIN","DEL PARDO","n/a","569.6"
"7","EST","EST00003705","KATARIINA II","EST 646","International","28/07/2013","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","633.7"
"8","EST","EST00003701","Bellatrix","EST 499","International","28/07/2013","2007","X-41 OD",,"X-YACHTS","n/a","579.1"
"9","EST","EST00003699","ADELE","EST 467","International","28/07/2013","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","652.1"
"10","EST","EST00003698","PREMIUM","EST 499","International","28/07/2013","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","572.9"
"11","EST","EST00003652","JUKO","EST 405","Club","05/07/2013","1984","POLARIS","SET","SET","n/a","727.0"
"12","EST","EST00003651","KADRI","EST 185","Club","05/07/2013","1978","CONRAD 25","PETTERSON PELLE","TELIGA L","n/a","747.1"
"13","EST","EST00003639","LADY BIRD","EST 299","Club","02/07/2013","2001","AKTON 395","LUTRA","AKTON YACHTS","n/a","572.6"
"14","EST","EST00003638","PILLE-RIIN","EST 24","Club","02/07/2013","1984","POLARIS","SET","SET","n/a","724.7"
"15","EST","EST00003632","MIA","EST 330","Club","30/06/2013","2000","GRAND SURPRISE 31","NIVELT BERNARD","ARCHAMBAULT","n/a","636.7"
"16","EST","EST00003631","JAZZ","EST 465","Club","29/06/2013","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","651.2"
"17","EST","EST00003629","BRIGITTA","EST 295","Club","25/06/2013","1999","CROSS 31",,"RIDAS YACHTS","n/a","665.1"
"18","EST","EST00003586","SANTA MARIA","EST 386","Club","22/06/2013","2005","BRIIS 38","JAKOVLEV B","MASTER YACHT INT","n/a","588.1"
"19","EST","EST00003580","ESTELLA","EST 668","Club","13/06/2013","1985","CONRAD 25","PETTERSON PELLE",,"n/a","756.4"
"20","EST","EST00003567","ALBATROSS","EST 699","Club","06/06/2013","2010","XP-44","JEPPESEN NIELS","X-YACHTS","n/a","558.8"
"21","EST","EST00003566","ADVENTURE","EST 533","International","06/06/2013","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","632.1"
"22","EST","EST00003564","ASTRAIA","EST 69","Club","06/06/2013","1992","POLARIS","SET","SET","n/a","726.0"
"23","EST","EST00003524","SUGAR","EST 678","Club","31/05/2013","2009","T 34","LOSTUZZI MARCO","T-YACHTS","n/a","636.1"
"24","EST","EST00003522","FORTE","EST 475","International","30/05/2013","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","580.6"
"25","EST","EST00003520","Cherie","EST 633","Club","30/05/2013","2009","FIRST 35","FARR YACHT DESIGN","BENETEAU","n/a","631.4"
"26","EST","EST00003519","SILVA","EST 407","International","28/05/2013","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","632.0"
"27","EST","EST00003517","LAGLE II","EST 251","Club","28/05/2013","1984","POLARIS","SET","SET","n/a","735.5"
"28","EST","EST00003516","GEMMA","EST 637","Club","28/05/2013","1992","POLARIS","SET","SET","n/a","732.7"
"29","EST","EST00003510","EDASI","EST 11","Club","27/05/2013","1984","POLARIS","SET","SET","n/a","725.0"
"30","EST","EST00003509","KATARINA JEE","EST 464","International","27/05/2013","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","654.4"
"31","EST","EST00003492","MERIKOTKAS","EST 200","Club","21/05/2013","1984","POLARIS","SET","SET","n/a","725.3"
"32","EST","EST00003485","SEABIRD","EST 337","Club","20/05/2013","1998","FIRST 31.7","FARR YACHT DESIGN","BENETEAU","n/a","679.9"
"33","EST","EST00003484","PÕHJAKONN","EST 333","International","20/05/2013","1993","X-362 SPORT","JEPPESEN NIELS","X-YACHTS","n/a","639.0"
"34","EST","EST00003460","MAORI","EST 672","Club","17/05/2013","1995","PLATU 25 OD","FARR YACHT DESIGN","BENETEAU","n/a","677.6"
"35","EST","EST00003456","TUULE","EST 408","Club","17/05/2013","2003","FIRST 44.7","FARR YACHT DESIGN","BENETEAU","n/a","576.9"
"36","EST","EST00003455","FREYA","EST 571","Club","17/05/2013","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","634.8"
"37","EST","EST00003453","TORMILIND","EST 90","Club","16/05/2013","1981","CETUS","HOFFMAN E","TELIGA L","n/a","611.5"
"38","EST","EST00003452","JINX","EST-642","Club","16/05/2013","1985","X-99","JEPPESEN NIELS","X-YACHTS","n/a","637.5"
"39","EST","EST00003444","TRIINI","EST 52","Club","14/05/2013","1977","ALKOR","VCSPS","VCSPS","n/a","685.4"
"40","EST","EST00003441","CAROL","EST 193","Club","13/05/2013","1978","CONRAD 25","PETTERSON PELLE",,"n/a","755.5"
"41","EST","EST00003436","MASU","EST 632","Club","13/05/2013","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","648.0"
"42","EST","EST00003434","ENEL","EST 353","Club","13/05/2013","1999","CROSS 31","BLANK DIETER","RIDAS YACHTS","n/a","663.7"
"43","EST","EST00003433","BLANCA","EST 73","Club","13/05/2013","1984","POLARIS","SET","SET","n/a","721.6"
"44","EST","EST00003430","FANATIC","EST-239","Club","09/05/2013","1997","GUYLINE 355","LOENNGREN GUY","GLOBOTRON","n/a","644.1"
"45","EST","EST00003429","POHJATÄHT","EST 404","Club","09/05/2013","2005","BAVARIA 30",,"BAVARIA YACHTS","n/a","698.1"
"46","EST","EST00003426","MEREPÄRL","EST 406","Club","08/05/2013","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","635.2"
"47","EST","EST00003425","MY FIRST","EST 60","Club","08/05/2013","1991","FIRST 45 F5","FARR YACHT DESIGN","BENETEAU","n/a","607.3"
"48","EST","EST00003421","VESIKAAR","EST 700","Club","07/05/2013","2012","RIDAS 31","BLANK DIETER","RIDAS YACHTS","n/a","662.0"
"49","EST","EST00003419","PÕRGATAJA","EST 647","Club","07/05/2013","2007","ELAN 340","HUMPHREYS","ELAN YACHTS","n/a","655.8"
"50","EST","EST00003416","OLYMPIC ONLINE","EST 463","International","07/05/2013","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","580.0"
"51","EST","EST00003396","BERTA","EST 619","International","06/05/2013","2008","ELAN 380","HUMPHREYS","ELAN YACHTS","n/a","622.2"
"52","EST","EST00003390","RED HOT","EST 453","Club","06/05/2013","1991","JEANNEAU 35 OD","ANDRIEU DANIEL","JEANNEAU","n/a","630.9"
"53","EST","EST00003388","NORA","EST415","Club","06/05/2013","2004","BAVARIA 35 MATCH","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","635.6"
"54","EST","EST00003387","MATILDA","EST 631","Club","06/05/2013","2007","ELAN 340","HUMPHREYS","ELAN YACHTS","n/a","655.2"
"55","EST","EST00003380","LEILA","EST 242","Club","04/05/2013","1984","POLARIS","SET","SET","n/a","723.4"
"56","EST","EST00003379","TESSA","EST 324","Club","04/05/2013","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","653.6"
"57","EST","EST00003377","MINNI","EST 751","Club","04/05/2013","2003","RIDAS 26","BLANK DIETER","RIDAS YACHTS","n/a","705.0"
"58","EST","EST00003358","EVELYN III","EST 477","Club","25/04/2013","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","652.7"
"59","EST","EST00003356","BRIGITTA-X","EST 606","International","25/04/2013","2007","X-34","JEPPESEN NIELS","X-YACHTS","n/a","648.3"
"60","EST","EST00003345","BOSSA NOVA","EST 379","International","20/04/2013","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","632.6"
