"#","RatingOffice","ReferenceNumber","Yacht Name","Sail Number","Certificate GPH","Issue Date","Age","Class","Designer","Builder","aph","gph"
"1","EST","EST00002320","OLYMPIC ONLINE","EST 463","Club","29/08/2011","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","585.9"
"2","EST","EST00002317","STELLA MARIS","EST 660","Club","25/08/2011","1993","BAVARIA 50","JAKOPIN & JAKOPIN","BAVARIA YACHTS","n/a","694.7"
"3","EST","EST00002312","SYLVIA","EST 478","Club","03/08/2011","2006","GRAND SOLEIL 43 BC","CARKEEK / BOTIN","DEL PARDO","n/a","603.8"
"4","EST","EST00002311","MAORI","EST 672","Club","03/08/2011","1995","PLATU 25 OD","FARR YACHT DESIGN","BENETEAU","n/a","680.0"
"5","EST","EST00002302","AMSERV","EST 550","International","01/08/2011","2003","GRAND SOLEIL 42 R","CARKEEK / BOTIN","DEL PARDO","n/a","574.6"
"6","EST","EST00002299","PREMIUM","EST 499","International","26/07/2011","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","581.8"
"7","EST","EST00002298","SUGAR","EST 678","Club","24/07/2011","2009","T 34","LOSTUZZI MARCO","T-YACHTS","n/a","634.4"
"8","EST","EST00002294","LADY BIRD","EST 299","International","24/07/2011","2001","AKTON 395","LUTRA","AKTON YACHTS","n/a","583.2"
"9","EST","EST00002285","ESTELLA","EST 668","Club","21/07/2011","1985","CONRAD 25","PETTERSON PELLE",,"n/a","760.1"
"10","EST","EST00002283","KATARINA II","EST 646","International","21/07/2011","2009","ARCONA 340","QUIBERG STEFAN","ARCONA YACHTS","n/a","623.9"
"11","EST","EST00002282","SOPHIA","EST 480","International","07/07/2011","2002","DUFOUR 40","FELCI","DUFOUR","n/a","630.0"
"12","EST","EST00002275","MERIHUNT","EST 270","Club","05/07/2011","1979","X-79","JEPPESEN NIELS","X-YACHTS","n/a","712.5"
"13","EST","EST00002249","KADRI","EST 185","Club","05/07/2011","1978","CONRAD 25","PETTERSON PELLE","TELIGA L","n/a","748.1"
"14","EST","EST00002228","FORTE","EST 475","International","04/07/2011","2006","X-41 OD","JEPPESEN NIELS","X-YACHTS","n/a","578.9"
"15","EST","EST00002226","RED HOT","EST 453","Club","04/07/2011","1991","JEANNEAU 35 OD","ANDRIEU DANIEL","JEANNEAU","n/a","643.5"
"16","EST","EST00002223","ZUXU","EST 539","Club","04/07/2011","2005","COMET 41 S","VALLICELLI ANDREA","COMAR YACHTS","n/a","586.9"
"17","EST","EST00002222","VESILEENU","EST 157","Club","02/07/2011","1984","POLARIS","SET","SET","n/a","730.1"
"18","EST","EST00002215","MINNI","EST 751","Club","01/07/2011","2003","RIDAS 26","BLANK DIETER","RIDAS YACHTS","n/a","698.2"
"19","EST","EST00002190","ENELI","EST 107","Club","01/07/2011","1984","POLARIS","SET","SET","n/a","729.8"
"20","EST","EST00002188","VIVIDOR","EST 345","Club","30/06/2011","1997","RIDAS 35","LOENNGREN GUY / RIDAS","RIDAS YACHTS","n/a","655.1"
"21","EST","EST00002179","DEJA VU","EST 494","Club","30/06/2011","2005","FIRST 34.7","FARR YACHT DESIGN","BENETEAU","n/a","651.0"
"22","EST","EST00002170","SILVA","EST 407","International","29/06/2011","2001","FIRST 36.7","FARR YACHT DESIGN","BENETEAU","n/a","628.1"
